open,high,low,close,volume,datetime,symbol
28.86,28.86,28.86,28.86,370,2021-10-11 13:30:00,ESGRP
28.9071,28.9071,28.9071,28.9071,101,2021-10-11 13:58:00,ESGRP
28.92,28.92,28.92,28.92,209,2021-10-11 15:25:00,ESGRP
29.0,29.0,29.0,29.0,100,2021-10-11 15:29:00,ESGRP
29.0268,29.0268,29.0268,29.0268,532,2021-10-11 15:58:00,ESGRP
28.995,28.995,28.995,28.995,100,2021-10-11 16:03:00,ESGRP
29.0399,29.0399,29.0399,29.0399,227,2021-10-11 17:08:00,ESGRP
28.975,28.975,28.975,28.975,200,2021-10-11 17:32:00,ESGRP
28.94,28.94,28.91,28.91,600,2021-10-11 17:52:00,ESGRP
28.94,28.94,28.94,28.94,120,2021-10-11 18:16:00,ESGRP
28.765,28.765,28.765,28.765,100,2021-10-11 19:42:00,ESGRP
28.77,28.77,28.77,28.77,200,2021-10-11 19:58:00,ESGRP
28.77,28.77,28.77,28.77,200,2021-10-11 19:59:00,ESGRP
28.92,28.92,28.92,28.92,260,2021-10-12 13:30:00,ESGRP
28.84,28.84,28.84,28.84,100,2021-10-12 14:24:00,ESGRP
28.935,28.935,28.88,28.88,200,2021-10-12 14:50:00,ESGRP
28.89,28.89,28.89,28.89,100,2021-10-12 14:51:00,ESGRP
28.94,28.94,28.89,28.92,852,2021-10-12 15:12:00,ESGRP
28.897,28.9,28.88,28.88,1000,2021-10-12 15:17:00,ESGRP
28.92,28.92,28.84,28.84,550,2021-10-12 15:39:00,ESGRP
28.915,28.915,28.915,28.915,100,2021-10-12 16:17:00,ESGRP
28.85,28.85,28.84,28.84,200,2021-10-12 16:42:00,ESGRP
28.84,28.84,28.8,28.8,400,2021-10-12 16:44:00,ESGRP
28.9335,28.9335,28.9335,28.9335,102,2021-10-12 17:42:00,ESGRP
28.92,28.92,28.92,28.92,100,2021-10-12 19:24:00,ESGRP
28.8001,28.8001,28.8001,28.8001,200,2021-10-12 19:27:00,ESGRP
28.8698,28.8698,28.8698,28.8698,123,2021-10-12 19:41:00,ESGRP
28.92,28.92,28.92,28.92,100,2021-10-12 19:42:00,ESGRP
28.91,28.91,28.91,28.91,297,2021-10-12 19:55:00,ESGRP
28.99,28.99,28.97,28.97,300,2021-10-12 19:58:00,ESGRP
28.98,28.98,28.98,28.98,124,2021-10-12 20:00:00,ESGRP
28.95,28.95,28.95,28.95,311,2021-10-13 13:30:00,ESGRP
29.17,29.17,29.17,29.17,100,2021-10-13 13:50:00,ESGRP
29.12,29.12,28.67,28.76,27195,2021-10-13 13:55:00,ESGRP
28.77,28.78,28.77,28.77,800,2021-10-13 14:04:00,ESGRP
28.77,28.77,28.76,28.76,2185,2021-10-13 14:05:00,ESGRP
28.78,28.78,28.78,28.78,1000,2021-10-13 14:06:00,ESGRP
28.77,28.77,28.77,28.77,500,2021-10-13 14:09:00,ESGRP
28.82,28.83,28.82,28.83,387,2021-10-13 14:23:00,ESGRP
28.795,28.8,28.7815,28.8,1100,2021-10-13 14:48:00,ESGRP
28.795,28.795,28.77,28.77,700,2021-10-13 14:49:00,ESGRP
28.795,28.795,28.795,28.795,110,2021-10-13 14:50:00,ESGRP
28.77,28.77,28.76,28.77,592,2021-10-13 15:27:00,ESGRP
28.8,28.8,28.8,28.8,100,2021-10-13 15:43:00,ESGRP
28.79,28.79,28.79,28.79,100,2021-10-13 15:52:00,ESGRP
28.8,28.8,28.8,28.8,100,2021-10-13 15:55:00,ESGRP
28.83,28.83,28.83,28.83,100,2021-10-13 16:11:00,ESGRP
28.79,28.79,28.79,28.79,118,2021-10-13 16:18:00,ESGRP
28.82,28.82,28.82,28.82,100,2021-10-13 16:26:00,ESGRP
28.82,28.83,28.8,28.82,2958,2021-10-13 16:33:00,ESGRP
28.83,28.83,28.83,28.83,100,2021-10-13 16:36:00,ESGRP
28.84,28.84,28.83,28.83,1565,2021-10-13 16:45:00,ESGRP
28.84,28.84,28.84,28.84,200,2021-10-13 17:06:00,ESGRP
28.81,28.81,28.81,28.81,854,2021-10-13 17:13:00,ESGRP
28.88,28.88,28.88,28.88,100,2021-10-13 17:36:00,ESGRP
28.8,28.8,28.8,28.8,300,2021-10-13 17:58:00,ESGRP
28.81,28.81,28.81,28.81,100,2021-10-13 17:59:00,ESGRP
28.71,28.83,28.71,28.83,66676,2021-10-13 18:05:00,ESGRP
28.84,28.84,28.82,28.82,200,2021-10-13 18:06:00,ESGRP
28.87,28.87,28.83,28.84,1210,2021-10-13 18:10:00,ESGRP
28.8215,28.8215,28.8215,28.8215,166,2021-10-13 19:34:00,ESGRP
28.88,28.88,28.88,28.88,100,2021-10-13 19:39:00,ESGRP
28.83,28.83,28.83,28.83,100,2021-10-13 19:43:00,ESGRP
28.84,28.84,28.83,28.83,408,2021-10-13 19:44:00,ESGRP
28.83,28.83,28.83,28.83,100,2021-10-13 19:45:00,ESGRP
28.82,28.82,28.82,28.82,108,2021-10-13 19:48:00,ESGRP
28.81,28.81,28.81,28.81,100,2021-10-13 19:50:00,ESGRP
28.87,28.886,28.85,28.85,400,2021-10-13 19:56:00,ESGRP
28.85,28.85,28.81,28.81,1272,2021-10-13 19:59:00,ESGRP
28.81,28.81,28.81,28.81,1514,2021-10-13 20:00:00,ESGRP
28.95,28.95,28.95,28.95,381,2021-10-14 13:30:00,ESGRP
28.91,28.91,28.91,28.91,555,2021-10-14 13:45:00,ESGRP
28.94,28.98,28.94,28.97,1400,2021-10-14 13:50:00,ESGRP
28.94,28.94,28.94,28.94,200,2021-10-14 14:05:00,ESGRP
28.95,28.96,28.95,28.96,300,2021-10-14 14:13:00,ESGRP
29.0,29.0,29.0,29.0,3027,2021-10-14 14:18:00,ESGRP
29.08,29.08,29.08,29.08,117,2021-10-14 14:25:00,ESGRP
29.035,29.035,29.03,29.03,217,2021-10-14 14:35:00,ESGRP
28.95,28.96,28.94,28.95,1435,2021-10-14 14:56:00,ESGRP
28.95,28.95,28.95,28.95,100,2021-10-14 15:03:00,ESGRP
28.97,28.97,28.97,28.97,405,2021-10-14 15:05:00,ESGRP
28.9585,28.9585,28.9585,28.9585,158,2021-10-14 15:06:00,ESGRP
28.94,28.94,28.93,28.93,500,2021-10-14 15:10:00,ESGRP
28.91,28.91,28.91,28.91,100,2021-10-14 15:29:00,ESGRP
28.83,28.83,28.83,28.83,300,2021-10-14 15:31:00,ESGRP
28.84,28.84,28.84,28.84,400,2021-10-14 15:32:00,ESGRP
28.9472,28.9472,28.9472,28.9472,153,2021-10-14 15:38:00,ESGRP
28.92,28.92,28.92,28.92,525,2021-10-14 16:15:00,ESGRP
28.9729,28.98,28.935,28.9784,4711,2021-10-14 16:55:00,ESGRP
28.91,28.91,28.91,28.91,100,2021-10-14 17:31:00,ESGRP
28.98,28.98,28.9,28.9,3990,2021-10-14 17:42:00,ESGRP
28.89,28.89,28.83,28.8335,2649,2021-10-14 17:43:00,ESGRP
28.85,28.85,28.8335,28.85,1332,2021-10-14 17:44:00,ESGRP
28.8421,28.8421,28.8421,28.8421,700,2021-10-14 17:47:00,ESGRP
28.84,28.84,28.84,28.84,100,2021-10-14 17:54:00,ESGRP
28.89,28.9,28.89,28.9,24752,2021-10-14 18:02:00,ESGRP
28.9,28.92,28.89,28.904,10798,2021-10-14 18:03:00,ESGRP
29.025,29.025,29.025,29.025,407,2021-10-14 18:18:00,ESGRP
29.025,29.025,29.025,29.025,131,2021-10-14 18:33:00,ESGRP
29.034,29.034,29.034,29.034,310,2021-10-14 18:44:00,ESGRP
29.02,29.15,29.02,29.15,201,2021-10-14 18:45:00,ESGRP
29.08,29.08,29.08,29.08,384,2021-10-14 19:52:00,ESGRP
29.0,29.0,29.0,29.0,300,2021-10-14 19:56:00,ESGRP
29.02,29.02,29.02,29.02,262,2021-10-15 13:30:00,ESGRP
29.1669,29.1669,28.97,28.97,325,2021-10-15 14:24:00,ESGRP
29.035,29.035,29.035,29.035,170,2021-10-15 15:57:00,ESGRP
29.15,29.15,28.97,28.97,200,2021-10-15 16:02:00,ESGRP
29.01,29.09,28.94,28.94,4498,2021-10-15 17:39:00,ESGRP
28.94,29.0,28.94,28.95,598,2021-10-15 17:40:00,ESGRP
29.015,29.015,29.015,29.015,100,2021-10-15 17:41:00,ESGRP
29.0148,29.02,29.0148,29.02,648,2021-10-15 17:51:00,ESGRP
28.992,28.992,28.992,28.992,700,2021-10-15 18:05:00,ESGRP
29.0125,29.0125,28.97,28.97,210,2021-10-15 18:06:00,ESGRP
28.98,28.98,28.98,28.98,100,2021-10-15 18:14:00,ESGRP
29.02,29.02,29.02,29.02,100,2021-10-15 18:25:00,ESGRP
28.99,28.99,28.99,28.99,100,2021-10-15 18:29:00,ESGRP
29.02,29.02,29.02,29.02,100,2021-10-15 18:31:00,ESGRP
29.025,29.025,29.025,29.025,100,2021-10-15 19:05:00,ESGRP
29.07,29.07,29.07,29.07,378,2021-10-15 19:07:00,ESGRP
28.98,28.98,28.97,28.97,300,2021-10-15 19:09:00,ESGRP
29.0,29.0,29.0,29.0,100,2021-10-15 19:37:00,ESGRP
28.95,28.95,28.95,28.95,100,2021-10-15 19:46:00,ESGRP
28.92,28.96,28.92,28.96,400,2021-10-15 19:57:00,ESGRP
29.03,29.03,29.03,29.03,554,2021-10-15 20:00:00,ESGRP
