open,high,low,close,volume,datetime,symbol
24.22,24.31,24.22,24.31,3657,2021-10-11 13:30:00,FFBC
24.08,24.08,24.08,24.08,200,2021-10-11 13:34:00,FFBC
24.14,24.15,24.13,24.13,900,2021-10-11 13:35:00,FFBC
24.13,24.19,24.13,24.19,800,2021-10-11 13:36:00,FFBC
24.16,24.16,24.16,24.16,400,2021-10-11 13:39:00,FFBC
24.14,24.14,24.14,24.14,100,2021-10-11 13:42:00,FFBC
24.15,24.22,24.15,24.16,2340,2021-10-11 13:44:00,FFBC
24.22,24.22,24.22,24.22,100,2021-10-11 13:46:00,FFBC
24.2,24.2,24.19,24.2,2900,2021-10-11 13:47:00,FFBC
24.25,24.25,24.25,24.25,100,2021-10-11 13:51:00,FFBC
24.25,24.25,24.25,24.25,100,2021-10-11 13:55:00,FFBC
24.3,24.3,24.3,24.3,100,2021-10-11 13:56:00,FFBC
24.29,24.29,24.26,24.26,204,2021-10-11 13:59:00,FFBC
24.25,24.25,24.24,24.24,500,2021-10-11 14:00:00,FFBC
24.21,24.21,24.2,24.21,500,2021-10-11 14:03:00,FFBC
24.23,24.23,24.23,24.23,800,2021-10-11 14:06:00,FFBC
24.14,24.14,24.11,24.11,600,2021-10-11 14:15:00,FFBC
24.14,24.14,24.14,24.14,600,2021-10-11 14:17:00,FFBC
24.15,24.15,24.14,24.14,300,2021-10-11 14:22:00,FFBC
24.12,24.12,24.1,24.1,1000,2021-10-11 14:23:00,FFBC
24.14,24.155,24.14,24.155,700,2021-10-11 14:25:00,FFBC
24.12,24.12,24.11,24.11,400,2021-10-11 14:28:00,FFBC
24.1,24.1,24.1,24.1,300,2021-10-11 14:30:00,FFBC
24.1,24.1,24.1,24.1,100,2021-10-11 14:35:00,FFBC
24.08,24.08,24.08,24.08,100,2021-10-11 14:40:00,FFBC
24.08,24.08,24.08,24.08,100,2021-10-11 14:41:00,FFBC
24.13,24.15,24.09,24.09,3996,2021-10-11 14:44:00,FFBC
24.135,24.135,24.135,24.135,100,2021-10-11 14:45:00,FFBC
24.13,24.13,24.13,24.13,100,2021-10-11 14:49:00,FFBC
24.16,24.16,24.16,24.16,100,2021-10-11 14:51:00,FFBC
24.13,24.13,24.13,24.13,200,2021-10-11 14:56:00,FFBC
24.07,24.07,24.07,24.07,100,2021-10-11 15:00:00,FFBC
24.09,24.09,24.09,24.09,100,2021-10-11 15:03:00,FFBC
24.051,24.051,24.051,24.051,100,2021-10-11 15:04:00,FFBC
24.09,24.09,24.09,24.09,200,2021-10-11 15:06:00,FFBC
24.1,24.1,24.1,24.1,200,2021-10-11 15:07:00,FFBC
24.09,24.09,24.081,24.081,731,2021-10-11 15:12:00,FFBC
24.08,24.08,24.08,24.08,530,2021-10-11 15:14:00,FFBC
24.1,24.1,24.1,24.1,100,2021-10-11 15:15:00,FFBC
24.02,24.02,24.02,24.02,100,2021-10-11 15:22:00,FFBC
24.06,24.06,24.06,24.06,200,2021-10-11 15:25:00,FFBC
24.06,24.06,24.06,24.06,100,2021-10-11 15:26:00,FFBC
24.09,24.09,24.0899,24.0899,292,2021-10-11 15:27:00,FFBC
