open,high,low,close,volume,datetime,symbol
72.2,72.2,71.91,71.91,3273,2021-10-11 13:30:00,ITRI
72.2,72.2,72.2,72.2,100,2021-10-11 13:32:00,ITRI
72.19,72.25,72.18,72.18,500,2021-10-11 13:33:00,ITRI
72.16,72.28,72.11,72.12,1100,2021-10-11 13:34:00,ITRI
72.12,72.12,71.57,71.81,1700,2021-10-11 13:35:00,ITRI
71.95,72.155,71.95,72.01,400,2021-10-11 13:37:00,ITRI
72.01,72.01,72.01,72.01,100,2021-10-11 13:39:00,ITRI
71.96,72.19,71.94,72.02,2299,2021-10-11 13:40:00,ITRI
71.9,72.13,71.9,71.93,1270,2021-10-11 13:41:00,ITRI
72.125,72.125,71.79,71.89,1200,2021-10-11 13:42:00,ITRI
71.67,71.78,71.67,71.78,200,2021-10-11 13:43:00,ITRI
71.54,71.72,71.54,71.58,400,2021-10-11 13:46:00,ITRI
71.5,71.5,71.48,71.48,200,2021-10-11 13:47:00,ITRI
71.49,71.49,71.48,71.48,300,2021-10-11 13:48:00,ITRI
71.42,71.49,71.42,71.48,400,2021-10-11 13:49:00,ITRI
71.55,71.6,71.47,71.6,1432,2021-10-11 13:50:00,ITRI
71.605,71.666,71.605,71.666,400,2021-10-11 13:51:00,ITRI
71.68,71.71,71.68,71.71,200,2021-10-11 13:52:00,ITRI
71.82,71.98,71.82,71.98,400,2021-10-11 13:54:00,ITRI
71.94,71.94,71.94,71.94,100,2021-10-11 13:55:00,ITRI
71.95,72.075,71.95,72.075,200,2021-10-11 13:56:00,ITRI
71.97,72.2299,71.97,72.2299,700,2021-10-11 13:57:00,ITRI
72.23,72.24,72.23,72.24,200,2021-10-11 13:58:00,ITRI
72.25,72.25,72.19,72.21,600,2021-10-11 13:59:00,ITRI
72.18,72.18,72.18,72.18,100,2021-10-11 14:00:00,ITRI
72.16,72.25,72.12,72.18,1000,2021-10-11 14:01:00,ITRI
72.14,72.29,72.13,72.29,900,2021-10-11 14:02:00,ITRI
72.145,72.155,72.145,72.155,200,2021-10-11 14:03:00,ITRI
72.155,72.155,72.1,72.1,300,2021-10-11 14:04:00,ITRI
72.165,72.165,72.09,72.09,620,2021-10-11 14:05:00,ITRI
72.12,72.12,72.12,72.12,100,2021-10-11 14:07:00,ITRI
72.175,72.23,72.12,72.23,1776,2021-10-11 14:08:00,ITRI
72.22,72.32,72.22,72.32,1575,2021-10-11 14:09:00,ITRI
72.335,72.45,72.335,72.39,1010,2021-10-11 14:10:00,ITRI
72.37,72.37,72.37,72.37,200,2021-10-11 14:11:00,ITRI
72.32,72.32,72.2,72.2,1800,2021-10-11 14:12:00,ITRI
72.265,72.265,72.13,72.13,500,2021-10-11 14:13:00,ITRI
72.21,72.21,72.21,72.21,100,2021-10-11 14:14:00,ITRI
72.14,72.16,72.13,72.16,400,2021-10-11 14:16:00,ITRI
72.17,72.21,72.17,72.21,600,2021-10-11 14:17:00,ITRI
72.235,72.3,72.2,72.25,1200,2021-10-11 14:18:00,ITRI
72.23,72.35,72.23,72.28,1500,2021-10-11 14:19:00,ITRI
72.295,72.295,72.27,72.27,400,2021-10-11 14:20:00,ITRI
72.33,72.35,72.3,72.3,600,2021-10-11 14:22:00,ITRI
72.4,72.44,72.4,72.405,1400,2021-10-11 14:23:00,ITRI
72.41,72.44,72.38,72.405,400,2021-10-11 14:24:00,ITRI
72.405,72.405,72.405,72.405,200,2021-10-11 14:25:00,ITRI
72.435,72.435,72.435,72.435,100,2021-10-11 14:26:00,ITRI
72.405,72.46,72.405,72.431,1150,2021-10-11 14:27:00,ITRI
72.445,72.46,72.445,72.46,200,2021-10-11 14:28:00,ITRI
72.465,72.465,72.465,72.465,100,2021-10-11 14:29:00,ITRI
72.43,72.43,72.43,72.43,500,2021-10-11 14:30:00,ITRI
72.44,72.44,72.43,72.43,200,2021-10-11 14:31:00,ITRI
72.42,72.42,72.29,72.29,1500,2021-10-11 14:32:00,ITRI
72.305,72.305,72.305,72.305,200,2021-10-11 14:33:00,ITRI
72.25,72.25,72.25,72.25,100,2021-10-11 14:34:00,ITRI
72.305,72.305,72.305,72.305,100,2021-10-11 14:35:00,ITRI
72.305,72.34,72.29,72.31,400,2021-10-11 14:36:00,ITRI
72.315,72.315,72.26,72.26,200,2021-10-11 14:38:00,ITRI
72.24,72.24,72.04,72.04,600,2021-10-11 14:41:00,ITRI
72.01,72.01,71.96,71.96,200,2021-10-11 14:43:00,ITRI
71.93,71.93,71.93,71.93,100,2021-10-11 14:45:00,ITRI
71.91,71.91,71.91,71.91,100,2021-10-11 14:46:00,ITRI
71.92,71.92,71.89,71.89,500,2021-10-11 14:47:00,ITRI
71.86,71.86,71.69,71.69,500,2021-10-11 14:49:00,ITRI
71.76,71.78,71.6901,71.71,1261,2021-10-11 14:50:00,ITRI
71.7,71.795,71.7,71.795,400,2021-10-11 14:51:00,ITRI
71.855,71.855,71.855,71.855,100,2021-10-11 14:54:00,ITRI
71.86,72.065,71.83,72.065,2600,2021-10-11 14:56:00,ITRI
72.055,72.15,72.055,72.15,600,2021-10-11 14:58:00,ITRI
72.18,72.22,72.13,72.13,1300,2021-10-11 14:59:00,ITRI
72.13,72.26,72.13,72.26,1800,2021-10-11 15:00:00,ITRI
72.305,72.43,72.305,72.43,700,2021-10-11 15:02:00,ITRI
72.435,72.435,72.435,72.435,700,2021-10-11 15:03:00,ITRI
72.445,72.49,72.36,72.445,4001,2021-10-11 15:04:00,ITRI
72.415,72.43,72.415,72.42,500,2021-10-11 15:05:00,ITRI
72.37,72.43,72.37,72.43,1546,2021-10-11 15:06:00,ITRI
72.44,72.44,72.43,72.43,1100,2021-10-11 15:07:00,ITRI
72.435,72.6,72.38,72.555,5030,2021-10-11 15:08:00,ITRI
72.51,72.52,72.51,72.52,200,2021-10-11 15:09:00,ITRI
72.55,72.61,72.495,72.59,1360,2021-10-11 15:10:00,ITRI
72.59,72.605,72.59,72.605,300,2021-10-11 15:11:00,ITRI
72.605,72.615,72.59,72.59,400,2021-10-11 15:12:00,ITRI
72.54,72.54,72.48,72.48,400,2021-10-11 15:13:00,ITRI
72.47,72.47,72.47,72.47,100,2021-10-11 15:14:00,ITRI
72.42,72.42,72.41,72.41,200,2021-10-11 15:16:00,ITRI
72.5,72.5,72.4,72.4,812,2021-10-11 15:17:00,ITRI
72.37,72.37,72.35,72.35,300,2021-10-11 15:18:00,ITRI
72.31,72.31,72.31,72.31,100,2021-10-11 15:19:00,ITRI
72.285,72.36,72.285,72.36,1050,2021-10-11 15:21:00,ITRI
72.36,72.36,72.36,72.36,1700,2021-10-11 15:22:00,ITRI
72.36,72.36,72.36,72.36,200,2021-10-11 15:23:00,ITRI
72.4,72.42,72.4,72.415,400,2021-10-11 15:24:00,ITRI
72.45,72.45,72.45,72.45,100,2021-10-11 15:26:00,ITRI
72.55,72.55,72.55,72.55,100,2021-10-11 15:29:00,ITRI
72.5075,72.53,72.5075,72.53,200,2021-10-11 15:30:00,ITRI
72.5,72.54,72.47,72.5,3544,2021-10-11 15:31:00,ITRI
72.49,72.51,72.4,72.4,7053,2021-10-11 15:32:00,ITRI
