open,high,low,close,volume,datetime,symbol
67.76,67.76,67.76,67.76,272,2021-10-11 13:30:00,MCRI
66.83,66.83,66.83,66.83,100,2021-10-11 13:33:00,MCRI
68.38,68.38,68.38,68.38,100,2021-10-11 13:50:00,MCRI
68.335,68.335,68.335,68.335,100,2021-10-11 13:55:00,MCRI
68.165,68.165,68.165,68.165,300,2021-10-11 14:25:00,MCRI
68.02,68.02,68.02,68.02,200,2021-10-11 15:14:00,MCRI
67.91,67.91,67.91,67.91,300,2021-10-11 15:24:00,MCRI
68.025,68.025,68.0,68.0,300,2021-10-11 15:37:00,MCRI
68.075,68.075,68.075,68.075,200,2021-10-11 15:38:00,MCRI
67.76,67.76,67.76,67.76,100,2021-10-11 16:14:00,MCRI
67.61,67.61,67.61,67.61,100,2021-10-11 16:36:00,MCRI
67.34,67.34,67.34,67.34,200,2021-10-11 16:49:00,MCRI
67.3,67.3,67.3,67.3,100,2021-10-11 16:57:00,MCRI
67.34,67.34,67.34,67.34,100,2021-10-11 17:22:00,MCRI
67.36,67.36,67.36,67.36,100,2021-10-11 17:28:00,MCRI
67.33,67.33,67.33,67.33,100,2021-10-11 17:40:00,MCRI
67.52,67.52,67.52,67.52,100,2021-10-11 17:45:00,MCRI
67.61,67.61,67.61,67.61,100,2021-10-11 17:58:00,MCRI
67.37,67.37,67.37,67.37,100,2021-10-11 18:21:00,MCRI
67.715,67.715,67.715,67.715,100,2021-10-11 18:23:00,MCRI
67.42,67.42,67.42,67.42,100,2021-10-11 18:25:00,MCRI
67.6591,67.6591,67.6591,67.6591,1000,2021-10-11 18:28:00,MCRI
67.53,67.53,67.52,67.52,300,2021-10-11 19:10:00,MCRI
67.8752,67.8752,67.8752,67.8752,127,2021-10-11 19:11:00,MCRI
67.4,67.4,67.32,67.32,400,2021-10-11 19:30:00,MCRI
67.15,67.15,67.09,67.09,300,2021-10-11 19:44:00,MCRI
67.1,67.1,67.1,67.1,465,2021-10-11 19:51:00,MCRI
66.96,66.97,66.96,66.96,1200,2021-10-11 19:52:00,MCRI
66.88,66.9,66.88,66.9,200,2021-10-11 19:55:00,MCRI
67.01,67.01,66.89,66.89,200,2021-10-11 19:59:00,MCRI
66.83,66.83,66.83,66.83,3385,2021-10-11 20:00:00,MCRI
66.9,66.9,66.9,66.9,245,2021-10-12 13:30:00,MCRI
67.13,67.13,67.13,67.13,100,2021-10-12 14:59:00,MCRI
67.19,67.19,67.19,67.19,100,2021-10-12 15:17:00,MCRI
67.56,67.56,67.56,67.56,200,2021-10-12 15:22:00,MCRI
67.16,67.16,67.16,67.16,100,2021-10-12 15:32:00,MCRI
67.39,67.39,67.38,67.38,200,2021-10-12 15:43:00,MCRI
67.54,67.54,67.53,67.53,300,2021-10-12 15:55:00,MCRI
67.695,67.695,67.52,67.52,200,2021-10-12 16:06:00,MCRI
67.54,67.54,67.54,67.54,100,2021-10-12 16:13:00,MCRI
67.8175,67.8175,67.8175,67.8175,100,2021-10-12 16:15:00,MCRI
67.52,67.52,67.52,67.52,100,2021-10-12 16:17:00,MCRI
67.37,67.37,67.37,67.37,100,2021-10-12 16:24:00,MCRI
67.35,67.5999,67.1,67.5999,2864,2021-10-12 16:52:00,MCRI
67.52,67.57,67.52,67.57,400,2021-10-12 17:12:00,MCRI
67.56,67.56,67.56,67.56,100,2021-10-12 17:13:00,MCRI
67.4,67.4,67.35,67.35,1100,2021-10-12 17:16:00,MCRI
67.6,67.6,67.49,67.49,300,2021-10-12 17:35:00,MCRI
67.73,67.73,67.73,67.73,100,2021-10-12 17:50:00,MCRI
67.6699,67.6699,67.6699,67.6699,100,2021-10-12 18:09:00,MCRI
67.42,67.98,67.42,67.98,400,2021-10-12 18:19:00,MCRI
67.78,67.81,67.75,67.81,400,2021-10-12 18:41:00,MCRI
67.93,67.93,67.93,67.93,100,2021-10-12 18:44:00,MCRI
68.01,68.01,68.01,68.01,1000,2021-10-12 18:49:00,MCRI
67.26,67.26,67.26,67.26,100,2021-10-12 19:03:00,MCRI
67.43,67.43,67.15,67.15,247,2021-10-12 19:13:00,MCRI
67.57,67.57,67.57,67.57,100,2021-10-12 19:24:00,MCRI
67.63,67.64,67.63,67.64,243,2021-10-12 19:28:00,MCRI
67.57,67.57,67.57,67.57,124,2021-10-12 19:30:00,MCRI
67.465,67.465,67.465,67.465,100,2021-10-12 19:52:00,MCRI
67.4,67.4,67.36,67.375,900,2021-10-12 19:55:00,MCRI
67.385,67.385,67.385,67.385,100,2021-10-12 19:56:00,MCRI
67.56,67.56,67.4,67.4,200,2021-10-12 19:58:00,MCRI
67.64,67.64,67.35,67.51,1144,2021-10-12 19:59:00,MCRI
67.41,67.41,67.41,67.41,4891,2021-10-12 20:00:00,MCRI
67.41,67.41,67.41,67.41,846,2021-10-12 20:01:00,MCRI
67.36,67.36,67.36,67.36,171,2021-10-13 13:30:00,MCRI
66.93,66.93,66.6,66.6,300,2021-10-13 14:05:00,MCRI
66.11,66.575,66.11,66.575,202,2021-10-13 14:12:00,MCRI
66.95,66.95,66.95,66.95,1000,2021-10-13 14:36:00,MCRI
66.9984,66.9984,66.9984,66.9984,100,2021-10-13 15:01:00,MCRI
67.54,67.54,67.54,67.54,100,2021-10-13 15:03:00,MCRI
67.27,67.27,67.27,67.27,100,2021-10-13 15:35:00,MCRI
66.91,66.91,66.91,66.91,100,2021-10-13 16:05:00,MCRI
67.11,67.11,67.08,67.08,216,2021-10-13 16:39:00,MCRI
67.085,67.085,67.085,67.085,100,2021-10-13 16:40:00,MCRI
66.79,66.79,66.79,66.79,100,2021-10-13 17:13:00,MCRI
66.83,66.83,66.8,66.8,200,2021-10-13 17:17:00,MCRI
67.07,67.07,67.07,67.07,100,2021-10-13 17:41:00,MCRI
66.92,66.92,66.92,66.92,100,2021-10-13 17:47:00,MCRI
66.89,66.89,66.81,66.81,620,2021-10-13 18:08:00,MCRI
66.68,66.91,66.4008,66.91,400,2021-10-13 18:40:00,MCRI
66.74,66.74,66.74,66.74,200,2021-10-13 18:52:00,MCRI
66.67,66.67,66.66,66.66,200,2021-10-13 19:04:00,MCRI
66.5004,66.66,66.5004,66.645,450,2021-10-13 19:05:00,MCRI
66.665,66.78,66.5,66.57,800,2021-10-13 19:12:00,MCRI
66.54,66.54,66.54,66.54,100,2021-10-13 19:20:00,MCRI
66.7,66.7,66.54,66.54,300,2021-10-13 19:23:00,MCRI
66.51,66.59,66.48,66.5725,600,2021-10-13 19:24:00,MCRI
66.4725,66.4725,66.4725,66.4725,100,2021-10-13 19:25:00,MCRI
66.15,66.15,66.15,66.15,700,2021-10-13 19:28:00,MCRI
66.19,66.19,66.19,66.19,1000,2021-10-13 19:30:00,MCRI
66.38,66.38,66.38,66.38,100,2021-10-13 19:37:00,MCRI
66.5,66.54,66.445,66.5,1100,2021-10-13 19:48:00,MCRI
66.6,66.6,66.6,66.6,100,2021-10-13 19:50:00,MCRI
66.49,66.49,66.49,66.49,200,2021-10-13 19:52:00,MCRI
66.58,66.58,66.58,66.58,100,2021-10-13 19:53:00,MCRI
66.57,66.57,66.45,66.45,300,2021-10-13 19:54:00,MCRI
66.72,66.72,66.72,66.72,100,2021-10-13 19:57:00,MCRI
66.65,66.65,66.65,66.65,293,2021-10-13 19:59:00,MCRI
66.74,66.74,66.74,66.74,7406,2021-10-13 20:00:00,MCRI
67.43,67.43,67.43,67.43,179,2021-10-14 13:30:00,MCRI
67.7034,67.7034,67.7034,67.7034,100,2021-10-14 13:31:00,MCRI
67.91,67.91,67.91,67.91,100,2021-10-14 13:42:00,MCRI
66.9603,66.9603,66.9603,66.9603,175,2021-10-14 13:43:00,MCRI
67.79,67.79,67.79,67.79,100,2021-10-14 13:51:00,MCRI
