open,high,low,close,volume,datetime,symbol
0.63,0.6365,0.63,0.6341,9735,2021-10-11 13:30:00,MOTS
0.6365,0.6365,0.636043,0.636043,298,2021-10-11 13:33:00,MOTS
0.6345,0.6345,0.6342,0.6342,1100,2021-10-11 13:34:00,MOTS
0.636499,0.636499,0.636499,0.636499,149,2021-10-11 13:44:00,MOTS
0.6343,0.6343,0.6343,0.6343,200,2021-10-11 13:45:00,MOTS
0.6345,0.636601,0.6345,0.636601,2126,2021-10-11 13:48:00,MOTS
0.6387,0.6387,0.6387,0.6387,1000,2021-10-11 13:58:00,MOTS
0.6344,0.6344,0.6341,0.6341,200,2021-10-11 14:05:00,MOTS
0.6333,0.6333,0.6332,0.6332,10100,2021-10-11 14:06:00,MOTS
0.6332,0.6332,0.6324,0.6324,10999,2021-10-11 14:08:00,MOTS
0.6332,0.6357,0.6332,0.6357,1200,2021-10-11 14:09:00,MOTS
0.6324,0.6324,0.6324,0.6324,2000,2021-10-11 14:11:00,MOTS
0.635699,0.635699,0.635699,0.635699,150,2021-10-11 14:20:00,MOTS
0.6348,0.6348,0.6348,0.6348,750,2021-10-11 14:26:00,MOTS
0.6339,0.6339,0.6339,0.6339,100,2021-10-11 14:27:00,MOTS
0.6328,0.6328,0.6328,0.6328,10000,2021-10-11 14:28:00,MOTS
0.6328,0.6329,0.6328,0.6329,2300,2021-10-11 14:29:00,MOTS
0.6338,0.6338,0.6328,0.6328,7450,2021-10-11 14:30:00,MOTS
0.6339,0.6339,0.6339,0.6339,225,2021-10-11 14:32:00,MOTS
0.6349,0.6349,0.6349,0.6349,100,2021-10-11 14:33:00,MOTS
0.632901,0.633,0.632901,0.633,1000,2021-10-11 14:34:00,MOTS
0.6348,0.6348,0.6348,0.6348,5000,2021-10-11 14:38:00,MOTS
0.633,0.633001,0.6329,0.6329,2477,2021-10-11 14:41:00,MOTS
0.6328,0.6328,0.6328,0.6328,200,2021-10-11 14:45:00,MOTS
0.6328,0.6328,0.6324,0.6328,7900,2021-10-11 14:46:00,MOTS
0.6324,0.6324,0.6324,0.6324,100,2021-10-11 14:51:00,MOTS
0.632699,0.632699,0.632699,0.632699,500,2021-10-11 15:01:00,MOTS
0.6328,0.6328,0.6328,0.6328,200,2021-10-11 15:02:00,MOTS
0.6324,0.6324,0.6324,0.6324,150,2021-10-11 15:07:00,MOTS
0.6329,0.6329,0.6328,0.6328,862,2021-10-11 15:08:00,MOTS
0.6328,0.6328,0.6328,0.6328,550,2021-10-11 15:09:00,MOTS
0.6327,0.632711,0.6324,0.6324,878,2021-10-11 15:17:00,MOTS
0.6327,0.6327,0.6324,0.6324,3110,2021-10-11 15:18:00,MOTS
0.6327,0.6327,0.6327,0.6327,1700,2021-10-11 15:22:00,MOTS
0.6349,0.6349,0.6349,0.6349,100,2021-10-11 15:24:00,MOTS
0.632712,0.632712,0.632712,0.632712,300,2021-10-11 15:34:00,MOTS
0.6343,0.6343,0.6343,0.6343,1000,2021-10-11 15:37:00,MOTS
0.6334,0.6334,0.6334,0.6334,10000,2021-10-11 15:44:00,MOTS
0.6342,0.6342,0.6342,0.6342,4819,2021-10-11 15:45:00,MOTS
0.63381,0.63381,0.63381,0.63381,101,2021-10-11 15:47:00,MOTS
0.6342,0.6342,0.6342,0.6342,279,2021-10-11 15:48:00,MOTS
0.633899,0.633899,0.633899,0.633899,4000,2021-10-11 16:13:00,MOTS
0.6334,0.6339,0.6334,0.6339,1500,2021-10-11 16:18:00,MOTS
0.6331,0.6331,0.6331,0.6331,825,2021-10-11 16:34:00,MOTS
0.6333,0.6333,0.6333,0.6333,3000,2021-10-11 16:35:00,MOTS
0.6333,0.6334,0.6333,0.6334,240,2021-10-11 16:45:00,MOTS
0.6333,0.6333,0.6324,0.6324,700,2021-10-11 16:50:00,MOTS
0.633199,0.633199,0.633199,0.633199,400,2021-10-11 16:51:00,MOTS
0.632699,0.632699,0.632699,0.632699,1000,2021-10-11 17:00:00,MOTS
