open,high,low,close,volume,datetime,symbol
0.3,0.3,0.3,0.3,43860,2021-10-11 14:59:00,NOVVR
0.302,0.302,0.302,0.302,15500,2021-10-11 16:53:00,NOVVR
0.3001,0.3001,0.3001,0.3001,11401,2021-10-11 16:54:00,NOVVR
0.3001,0.3001,0.3001,0.3001,15000,2021-10-11 16:55:00,NOVVR
0.3001,0.3001,0.3001,0.3001,4800,2021-10-11 16:56:00,NOVVR
0.3001,0.3001,0.3001,0.3001,3600,2021-10-11 16:57:00,NOVVR
0.3001,0.3001,0.3001,0.3001,2700,2021-10-11 16:58:00,NOVVR
0.3001,0.3001,0.3001,0.3001,3500,2021-10-11 16:59:00,NOVVR
0.3001,0.3001,0.3001,0.3001,1200,2021-10-11 17:00:00,NOVVR
0.3001,0.3001,0.3,0.3,1500,2021-10-11 17:01:00,NOVVR
0.3,0.3,0.3,0.3,1800,2021-10-11 17:11:00,NOVVR
0.3001,0.3001,0.3,0.3,30700,2021-10-11 17:24:00,NOVVR
0.21,0.21,0.2,0.2,4146,2021-10-11 17:30:00,NOVVR
0.2969,0.2969,0.2969,0.2969,200,2021-10-11 19:04:00,NOVVR
0.3,0.3,0.3,0.3,700,2021-10-13 13:30:00,NOVVR
0.3,0.3,0.3,0.3,5799,2021-10-13 13:31:00,NOVVR
0.3,0.3,0.3,0.3,5897,2021-10-13 13:33:00,NOVVR
0.3,0.3,0.3,0.3,100,2021-10-13 13:39:00,NOVVR
0.3,0.3,0.3,0.3,12096,2021-10-13 13:58:00,NOVVR
0.3,0.3,0.3,0.3,604,2021-10-13 16:20:00,NOVVR
0.3,0.3,0.3,0.3,12500,2021-10-14 13:59:00,NOVVR
0.295,0.295,0.295,0.295,200,2021-10-14 16:50:00,NOVVR
0.28,0.28,0.28,0.28,4800,2021-10-14 17:30:00,NOVVR
0.29,0.29,0.28,0.28,10000,2021-10-14 17:31:00,NOVVR
0.3,0.3,0.3,0.3,100,2021-10-14 18:04:00,NOVVR
0.3,0.3,0.3,0.3,1600,2021-10-15 13:30:00,NOVVR
0.3,0.3,0.3,0.3,122900,2021-10-15 14:34:00,NOVVR
0.3,0.3,0.3,0.3,14700,2021-10-15 16:55:00,NOVVR
0.315199,0.315199,0.315199,0.315199,100,2021-10-15 19:10:00,NOVVR
0.315199,0.315199,0.315199,0.315199,100,2021-10-15 19:14:00,NOVVR
0.315199,0.315199,0.315199,0.315199,400,2021-10-15 19:16:00,NOVVR
0.315199,0.315199,0.315199,0.315199,700,2021-10-15 19:19:00,NOVVR
0.315199,0.315199,0.315199,0.315199,200,2021-10-15 19:20:00,NOVVR
0.3232,0.3232,0.3232,0.3232,1000,2021-10-18 16:54:00,NOVVR
0.3488,0.3488,0.3488,0.3488,1499,2021-10-19 15:00:00,NOVVR
0.35,0.35,0.35,0.35,250000,2021-10-19 15:33:00,NOVVR
0.35,0.35,0.35,0.35,154118,2021-10-19 15:34:00,NOVVR
0.3655,0.3655,0.3654,0.3654,200,2021-10-19 15:59:00,NOVVR
0.363019,0.363019,0.363019,0.363019,100,2021-10-19 19:13:00,NOVVR
0.35,0.35,0.35,0.35,300,2021-10-20 13:40:00,NOVVR
0.350619,0.350619,0.350619,0.350619,100,2021-10-20 15:18:00,NOVVR
0.35,0.35,0.35,0.35,25000,2021-10-21 13:34:00,NOVVR
0.35,0.35,0.35,0.35,24960,2021-10-21 13:56:00,NOVVR
0.35,0.35,0.35,0.35,1000,2021-10-21 15:02:00,NOVVR
0.35,0.35,0.35,0.35,100000,2021-10-21 15:27:00,NOVVR
0.35,0.35,0.35,0.35,485,2021-10-21 16:51:00,NOVVR
0.35,0.35,0.35,0.35,25000,2021-10-22 13:30:00,NOVVR
0.35,0.35,0.35,0.35,25600,2021-10-22 15:42:00,NOVVR
0.3538,0.3538,0.3538,0.3538,5000,2021-10-22 17:32:00,NOVVR
0.35,0.35,0.35,0.35,895,2021-10-22 18:29:00,NOVVR
0.3619,0.3619,0.3619,0.3619,1000,2021-10-22 18:43:00,NOVVR
