open,high,low,close,volume,datetime,symbol
23.42,23.42,23.42,23.42,173,2021-10-11 13:30:00,PDFS
23.17,23.17,23.17,23.17,100,2021-10-11 13:35:00,PDFS
23.33,23.33,23.33,23.33,100,2021-10-11 13:39:00,PDFS
23.42,23.42,23.42,23.42,100,2021-10-11 13:56:00,PDFS
23.49,23.49,23.49,23.49,100,2021-10-11 14:19:00,PDFS
23.49,23.49,23.49,23.49,100,2021-10-11 14:34:00,PDFS
23.38,23.38,23.38,23.38,100,2021-10-11 14:47:00,PDFS
23.45,23.45,23.45,23.45,100,2021-10-11 15:00:00,PDFS
23.44,23.44,23.44,23.44,100,2021-10-11 15:05:00,PDFS
23.46,23.46,23.46,23.46,100,2021-10-11 15:13:00,PDFS
23.48,23.48,23.44,23.44,300,2021-10-11 15:19:00,PDFS
23.4,23.4,23.4,23.4,100,2021-10-11 15:20:00,PDFS
23.3909,23.3909,23.3909,23.3909,100,2021-10-11 15:27:00,PDFS
23.34,23.37,23.34,23.37,700,2021-10-11 15:42:00,PDFS
23.395,23.395,23.395,23.395,100,2021-10-11 15:48:00,PDFS
23.395,23.395,23.395,23.395,100,2021-10-11 15:49:00,PDFS
23.38,23.38,23.38,23.38,100,2021-10-11 16:06:00,PDFS
23.39,23.39,23.39,23.39,100,2021-10-11 16:08:00,PDFS
23.395,23.395,23.395,23.395,100,2021-10-11 16:39:00,PDFS
23.39,23.39,23.39,23.39,200,2021-10-11 16:50:00,PDFS
23.385,23.385,23.385,23.385,100,2021-10-11 17:02:00,PDFS
23.375,23.375,23.375,23.375,100,2021-10-11 17:06:00,PDFS
23.35,23.35,23.345,23.345,200,2021-10-11 17:09:00,PDFS
23.35,23.35,23.335,23.335,400,2021-10-11 17:22:00,PDFS
23.355,23.355,23.355,23.355,100,2021-10-11 17:23:00,PDFS
23.35,23.35,23.35,23.35,100,2021-10-11 17:43:00,PDFS
23.35,23.35,23.35,23.35,300,2021-10-11 17:44:00,PDFS
23.35,23.35,23.35,23.35,100,2021-10-11 17:50:00,PDFS
