open,high,low,close,volume,datetime,symbol
9.94,9.95,9.94,9.94,12139,2021-10-11 18:47:00,SCLEU
9.94,9.94,9.94,9.94,250000,2021-10-13 15:00:00,SCLEU
9.8975,9.8975,9.8975,9.8975,150,2021-10-13 15:15:00,SCLEU
9.89,9.9,9.89,9.89,900,2021-10-13 16:30:00,SCLEU
9.89,9.89,9.89,9.89,225,2021-10-14 13:21:00,SCLEU
9.85,9.85,9.85,9.85,100,2021-10-14 13:30:00,SCLEU
9.88,9.88,9.85,9.85,2950,2021-10-14 14:33:00,SCLEU
9.9,9.9,9.9,9.9,200,2021-10-14 16:13:00,SCLEU
9.95,9.95,9.95,9.95,250000,2021-10-14 17:25:00,SCLEU
9.92,9.92,9.92,9.92,130,2021-10-14 18:26:00,SCLEU
9.86,9.86,9.86,9.86,300,2021-10-15 13:30:00,SCLEU
9.9001,9.9001,9.9001,9.9001,100,2021-10-15 14:18:00,SCLEU
9.9,9.9001,9.9,9.9001,200,2021-10-15 14:43:00,SCLEU
9.9001,9.9001,9.9001,9.9001,100,2021-10-15 14:45:00,SCLEU
9.915,9.915,9.91,9.91,284,2021-10-15 18:54:00,SCLEU
9.93,9.93,9.93,9.93,200,2021-10-15 19:22:00,SCLEU
