open,high,low,close,volume,datetime,symbol
390.74,390.74,390.74,390.74,1610,2021-10-11 12:36:00,TEAM
386.61,388.1,386.56,386.84,8884,2021-10-11 13:30:00,TEAM
387.57,387.57,385.35,385.7232,1409,2021-10-11 13:31:00,TEAM
385.76,387.92,385.76,387.92,703,2021-10-11 13:32:00,TEAM
387.5,387.5,387.5,387.5,200,2021-10-11 13:33:00,TEAM
388.4,388.43,388.4,388.43,300,2021-10-11 13:34:00,TEAM
390.28,390.74,389.81,389.81,1800,2021-10-11 13:35:00,TEAM
388.18,388.18,387.03,387.03,900,2021-10-11 13:37:00,TEAM
386.57,386.57,386.57,386.57,100,2021-10-11 13:38:00,TEAM
387.63,387.72,387.63,387.72,300,2021-10-11 13:39:00,TEAM
388.13,388.19,388.13,388.19,314,2021-10-11 13:40:00,TEAM
388.25,388.25,388.25,388.25,100,2021-10-11 13:41:00,TEAM
387.05,387.05,387.05,387.05,100,2021-10-11 13:42:00,TEAM
387.41,387.41,387.14,387.14,350,2021-10-11 13:43:00,TEAM
388.02,388.08,388.02,388.08,300,2021-10-11 13:44:00,TEAM
388.99,390.72,388.99,390.72,1162,2021-10-11 13:45:00,TEAM
390.96,391.77,390.88,391.23,3945,2021-10-11 13:46:00,TEAM
391.84,392.62,391.84,392.21,1980,2021-10-11 13:50:00,TEAM
392.395,392.395,391.92,392.395,610,2021-10-11 13:51:00,TEAM
391.79,391.82,390.58,390.58,700,2021-10-11 13:52:00,TEAM
390.7064,391.34,390.7064,391.34,500,2021-10-11 13:53:00,TEAM
390.875,390.89,390.495,390.495,600,2021-10-11 13:54:00,TEAM
390.45,391.3,390.45,390.7313,2746,2021-10-11 13:55:00,TEAM
390.94,390.94,390.94,390.94,465,2021-10-11 13:56:00,TEAM
390.52,390.55,390.52,390.55,400,2021-10-11 13:57:00,TEAM
391.17,391.19,391.17,391.19,300,2021-10-11 13:59:00,TEAM
391.39,392.23,391.39,392.07,1200,2021-10-11 14:00:00,TEAM
391.91,391.91,391.785,391.785,500,2021-10-11 14:01:00,TEAM
392.29,392.29,391.735,391.735,400,2021-10-11 14:02:00,TEAM
392.03,392.04,392.02,392.02,400,2021-10-11 14:03:00,TEAM
392.42,392.53,392.42,392.53,200,2021-10-11 14:04:00,TEAM
392.14,392.22,391.83,392.06,2089,2021-10-11 14:05:00,TEAM
392.31,392.645,392.31,392.41,2778,2021-10-11 14:06:00,TEAM
392.485,392.505,392.485,392.505,200,2021-10-11 14:07:00,TEAM
391.81,392.83,391.81,392.635,503,2021-10-11 14:08:00,TEAM
393.2,393.62,393.2,393.62,200,2021-10-11 14:09:00,TEAM
394.35,394.35,394.35,394.35,253,2021-10-11 14:10:00,TEAM
393.96,394.1,393.55,394.0103,1258,2021-10-11 14:11:00,TEAM
394.29,394.29,393.95,393.95,553,2021-10-11 14:12:00,TEAM
394.0262,394.0262,393.35,393.35,240,2021-10-11 14:14:00,TEAM
393.735,394.12,393.29,393.29,566,2021-10-11 14:16:00,TEAM
393.45,393.48,392.75,392.75,1291,2021-10-11 14:17:00,TEAM
393.36,393.36,392.9,392.9,320,2021-10-11 14:19:00,TEAM
394.01,394.34,393.79,394.34,900,2021-10-11 14:20:00,TEAM
394.3268,394.3268,394.3268,394.3268,200,2021-10-11 14:21:00,TEAM
394.49,394.58,394.49,394.58,700,2021-10-11 14:22:00,TEAM
394.57,394.57,394.57,394.57,100,2021-10-11 14:23:00,TEAM
394.7,394.7,394.7,394.7,100,2021-10-11 14:24:00,TEAM
393.96,394.1,393.96,393.97,500,2021-10-11 14:25:00,TEAM
393.69,393.69,393.69,393.69,300,2021-10-11 14:27:00,TEAM
394.0,394.06,393.2,393.87,1950,2021-10-11 14:28:00,TEAM
394.085,394.085,393.81,394.055,300,2021-10-11 14:30:00,TEAM
394.31,394.31,394.31,394.31,100,2021-10-11 14:31:00,TEAM
394.59,394.59,394.59,394.59,100,2021-10-11 14:32:00,TEAM
394.71,394.79,394.71,394.79,300,2021-10-11 14:33:00,TEAM
394.8413,394.8413,394.43,394.77,718,2021-10-11 14:34:00,TEAM
394.84,395.53,394.84,395.53,800,2021-10-11 14:36:00,TEAM
394.91,394.91,394.91,394.91,150,2021-10-11 14:37:00,TEAM
394.9242,395.36,394.9242,395.36,310,2021-10-11 14:38:00,TEAM
394.95,394.95,394.95,394.95,100,2021-10-11 14:39:00,TEAM
395.07,395.07,394.99,394.99,213,2021-10-11 14:40:00,TEAM
394.5825,394.5825,394.5825,394.5825,116,2021-10-11 14:41:00,TEAM
394.51,394.51,394.51,394.51,100,2021-10-11 14:42:00,TEAM
394.43,394.43,394.43,394.43,204,2021-10-11 14:43:00,TEAM
394.225,394.7067,394.225,394.7067,283,2021-10-11 14:44:00,TEAM
394.42,394.42,394.42,394.42,100,2021-10-11 14:46:00,TEAM
394.72,394.72,394.72,394.72,100,2021-10-11 14:47:00,TEAM
