open,high,low,close,volume,datetime,symbol
46.0,47.33,45.75,47.25,4842866,2020-09-23 16:20:00,GDRX
47.13,47.5,45.5,46.89,1998736,2020-09-23 16:25:00,GDRX
46.89,48.9,46.88,48.35,1700711,2020-09-23 16:30:00,GDRX
48.35,49.51,48.21,49.44,1498943,2020-09-23 16:35:00,GDRX
49.44,49.5,47.77,47.8,739735,2020-09-23 16:40:00,GDRX
47.86,48.96,47.62,48.84,570517,2020-09-23 16:45:00,GDRX
48.82,49.0,47.83,49.0,481646,2020-09-23 16:50:00,GDRX
49.0,49.57,48.11,48.11,441673,2020-09-23 16:55:00,GDRX
48.25,48.7,48.01,48.03,271083,2020-09-23 17:00:00,GDRX
48.01,48.86,47.9,48.65,403197,2020-09-23 17:05:00,GDRX
48.63,48.93,48.01,48.9299,218045,2020-09-23 17:10:00,GDRX
48.93,49.2,48.3,48.5485,207622,2020-09-23 17:15:00,GDRX
48.54,48.865,48.12,48.65,226927,2020-09-23 17:20:00,GDRX
48.49,48.5,47.26,47.4501,507860,2020-09-23 17:25:00,GDRX
47.5,47.97,47.33,47.905,294012,2020-09-23 17:30:00,GDRX
47.9,47.9,47.4,47.6793,134473,2020-09-23 17:35:00,GDRX
47.7,47.99,47.1501,47.3,225184,2020-09-23 17:40:00,GDRX
47.3,47.5999,47.1,47.2,154203,2020-09-23 17:45:00,GDRX
47.23,47.55,46.84,47.385,270694,2020-09-23 17:50:00,GDRX
47.385,47.55,46.97,47.115,189395,2020-09-23 17:55:00,GDRX
47.13,47.24,46.65,46.66,210237,2020-09-23 18:00:00,GDRX
46.69,46.98,46.65,46.8,105013,2020-09-23 18:05:00,GDRX
46.79,47.11,46.65,47.1,158585,2020-09-23 18:10:00,GDRX
47.1,47.88,47.05,47.36,158685,2020-09-23 18:15:00,GDRX
47.12,47.25,47.0,47.15,110610,2020-09-23 18:20:00,GDRX
47.22,47.75,46.95,47.0,216189,2020-09-23 18:25:00,GDRX
47.0,47.0199,46.8,46.96,151412,2020-09-23 18:30:00,GDRX
47.0,47.0,46.24,46.25,161601,2020-09-23 18:35:00,GDRX
46.268,46.5199,46.02,46.12,155104,2020-09-23 18:40:00,GDRX
46.1499,46.15,45.71,45.91,243171,2020-09-23 18:45:00,GDRX
45.91,46.8,45.84,46.5075,153145,2020-09-23 18:50:00,GDRX
46.7184,46.7184,46.02,46.185,135221,2020-09-23 18:55:00,GDRX
46.17,46.18,46.0,46.06,96357,2020-09-23 19:00:00,GDRX
46.02,46.19,45.97,46.115,151971,2020-09-23 19:05:00,GDRX
46.12,47.38,46.08,47.275,156935,2020-09-23 19:10:00,GDRX
47.34,47.58,46.9,47.335,250389,2020-09-23 19:15:00,GDRX
47.3999,48.01,47.272,47.82,281673,2020-09-23 19:20:00,GDRX
47.75,48.18,47.7,48.0,223351,2020-09-23 19:25:00,GDRX
47.95,48.18,47.5,48.03,190608,2020-09-23 19:30:00,GDRX
48.03,48.2,47.8736,47.8736,190168,2020-09-23 19:35:00,GDRX
