open,high,low,close,volume,datetime,symbol
115.73,115.73,115.73,115.73,688,2020-09-14 13:25:00,ADI
115.78,115.78,114.78,114.84,40713,2020-09-14 13:30:00,ADI
114.875,114.96,114.36,114.5433,50325,2020-09-14 13:35:00,ADI
114.52,114.79,114.47,114.47,19449,2020-09-14 13:40:00,ADI
114.505,115.02,114.45,114.93,22954,2020-09-14 13:45:00,ADI
114.91,114.94,114.6,114.61,17449,2020-09-14 13:50:00,ADI
114.63,114.79,114.37,114.49,23919,2020-09-14 13:55:00,ADI
114.5,114.6,114.36,114.53,20185,2020-09-14 14:00:00,ADI
114.52,114.54,114.37,114.45,27475,2020-09-14 14:05:00,ADI
114.49,114.55,114.33,114.45,9357,2020-09-14 14:10:00,ADI
114.47,114.6,114.43,114.6,10298,2020-09-14 14:15:00,ADI
114.63,114.66,114.36,114.41,10328,2020-09-14 14:20:00,ADI
114.41,114.58,114.35,114.51,9308,2020-09-14 14:25:00,ADI
114.51,114.67,114.38,114.48,12081,2020-09-14 14:30:00,ADI
114.53,114.56,114.37,114.44,9246,2020-09-14 14:35:00,ADI
114.41,114.43,114.19,114.37,11817,2020-09-14 14:40:00,ADI
114.39,114.42,114.145,114.27,21517,2020-09-14 14:45:00,ADI
114.24,114.5,114.23,114.5,6494,2020-09-14 14:50:00,ADI
114.5,114.69,114.5,114.69,10189,2020-09-14 14:55:00,ADI
114.68,114.73,114.45,114.55,11527,2020-09-14 15:00:00,ADI
114.57,114.7,114.5,114.51,9525,2020-09-14 15:05:00,ADI
114.53,114.53,114.2,114.26,21012,2020-09-14 15:10:00,ADI
114.23,114.4,114.1968,114.34,6655,2020-09-14 15:15:00,ADI
114.3,114.48,114.3,114.37,11015,2020-09-14 15:20:00,ADI
114.37,114.63,114.34,114.58,7574,2020-09-14 15:25:00,ADI
114.61,114.62,114.4338,114.57,10390,2020-09-14 15:30:00,ADI
114.58,114.6,114.4,114.54,11736,2020-09-14 15:35:00,ADI
114.56,114.59,114.44,114.475,12629,2020-09-14 15:40:00,ADI
114.47,114.48,114.24,114.26,11912,2020-09-14 15:45:00,ADI
114.27,114.46,114.22,114.44,14681,2020-09-14 15:50:00,ADI
114.42,114.495,114.26,114.32,12025,2020-09-14 15:55:00,ADI
114.29,114.42,114.25,114.37,10574,2020-09-14 16:00:00,ADI
114.34,114.37,114.23,114.34,14567,2020-09-14 16:05:00,ADI
114.33,114.35,114.23,114.245,10895,2020-09-14 16:10:00,ADI
114.235,114.37,114.19,114.245,11168,2020-09-14 16:15:00,ADI
114.24,114.26,114.13,114.18,13672,2020-09-14 16:20:00,ADI
114.18,114.26,114.13,114.14,7116,2020-09-14 16:25:00,ADI
114.18,114.22,114.085,114.1,11002,2020-09-14 16:30:00,ADI
114.06,114.14,114.03,114.08,10464,2020-09-14 16:35:00,ADI
114.08,114.1708,114.04,114.14,7056,2020-09-14 16:40:00,ADI
114.13,114.16,114.073,114.09,6892,2020-09-14 16:45:00,ADI
114.06,114.14,113.95,113.99,12604,2020-09-14 16:50:00,ADI
114.04,114.13,113.97,114.13,5256,2020-09-14 16:55:00,ADI
114.15,114.355,114.15,114.25,8199,2020-09-14 17:00:00,ADI
114.25,114.29,114.07,114.1555,12377,2020-09-14 17:05:00,ADI
114.17,114.18,114.1,114.105,8182,2020-09-14 17:10:00,ADI
114.09,114.09,113.92,113.95,8356,2020-09-14 17:15:00,ADI
113.99,113.99,113.87,113.95,5910,2020-09-14 17:20:00,ADI
113.91,114.02,113.88,114.0,8697,2020-09-14 17:25:00,ADI
114.0,114.02,113.69,113.82,12552,2020-09-14 17:30:00,ADI
113.78,113.9,113.78,113.87,5793,2020-09-14 17:35:00,ADI
113.84,113.93,113.77,113.9,8283,2020-09-14 17:40:00,ADI
113.91,114.05,113.91,114.05,6507,2020-09-14 17:45:00,ADI
114.04,114.145,114.03,114.14,6963,2020-09-14 17:50:00,ADI
114.14,114.16,114.07,114.08,7755,2020-09-14 17:55:00,ADI
114.09,114.09,113.94,114.06,9887,2020-09-14 18:00:00,ADI
114.07,114.215,114.06,114.17,6610,2020-09-14 18:05:00,ADI
114.18,114.19,114.11,114.11,6953,2020-09-14 18:10:00,ADI
114.11,114.15,114.07,114.11,10705,2020-09-14 18:15:00,ADI
114.12,114.225,114.09,114.22,10867,2020-09-14 18:20:00,ADI
114.2,114.2,114.0,114.02,9609,2020-09-14 18:25:00,ADI
114.04,114.2,114.01,114.13,10655,2020-09-14 18:30:00,ADI
114.15,114.16,114.06,114.12,12536,2020-09-14 18:35:00,ADI
114.115,114.22,113.96,114.1,16262,2020-09-14 18:40:00,ADI
114.11,114.11,113.98,114.02,8269,2020-09-14 18:45:00,ADI
114.03,114.22,114.0,114.09,14005,2020-09-14 18:50:00,ADI
114.04,114.16,113.88,114.12,16527,2020-09-14 18:55:00,ADI
114.14,114.23,114.01,114.08,9649,2020-09-14 19:00:00,ADI
