open,high,low,close,volume,datetime,symbol
18.01,18.01,17.82,17.82,1407,2020-09-14 13:30:00,AMEH
17.92,17.93,17.86,17.86,300,2020-09-14 13:35:00,AMEH
17.955,17.955,17.86,17.86,200,2020-09-14 13:45:00,AMEH
17.87,17.87,17.56,17.69,897,2020-09-14 13:50:00,AMEH
17.51,17.59,17.51,17.59,200,2020-09-14 13:55:00,AMEH
17.44,17.44,17.37,17.37,200,2020-09-14 14:00:00,AMEH
17.445,17.56,17.4,17.4,1800,2020-09-14 14:05:00,AMEH
17.45,17.57,17.45,17.57,1800,2020-09-14 14:10:00,AMEH
17.555,17.76,17.555,17.69,800,2020-09-14 14:15:00,AMEH
17.69,17.69,17.66,17.66,300,2020-09-14 14:20:00,AMEH
17.67,17.67,17.62,17.665,600,2020-09-14 14:25:00,AMEH
17.665,17.665,17.665,17.665,100,2020-09-14 14:30:00,AMEH
17.69,17.76,17.685,17.76,900,2020-09-14 14:35:00,AMEH
17.74,17.745,17.68,17.69,700,2020-09-14 14:40:00,AMEH
17.68,17.68,17.61,17.61,500,2020-09-14 14:50:00,AMEH
17.56,17.56,17.51,17.51,882,2020-09-14 14:55:00,AMEH
17.49,17.52,17.47,17.52,600,2020-09-14 15:00:00,AMEH
17.41,17.44,17.37,17.37,1130,2020-09-14 15:05:00,AMEH
17.42,17.43,17.3602,17.3602,900,2020-09-14 15:10:00,AMEH
17.36,17.36,17.36,17.36,100,2020-09-14 15:15:00,AMEH
17.36,17.475,17.36,17.44,1100,2020-09-14 15:20:00,AMEH
17.48,17.48,17.48,17.48,400,2020-09-14 15:25:00,AMEH
17.48,17.48,17.48,17.48,100,2020-09-14 15:30:00,AMEH
17.48,17.48,17.44,17.455,500,2020-09-14 15:35:00,AMEH
17.455,17.48,17.44,17.44,800,2020-09-14 15:40:00,AMEH
17.435,17.435,17.435,17.435,100,2020-09-14 15:45:00,AMEH
17.41,17.605,17.41,17.57,4300,2020-09-14 15:50:00,AMEH
17.56,17.6371,17.54,17.58,1080,2020-09-14 15:55:00,AMEH
17.53,17.59,17.53,17.59,200,2020-09-14 16:00:00,AMEH
17.59,17.675,17.59,17.64,1100,2020-09-14 16:10:00,AMEH
17.71,17.71,17.71,17.71,100,2020-09-14 16:20:00,AMEH
17.69,17.69,17.66,17.66,400,2020-09-14 16:25:00,AMEH
17.62,17.62,17.55,17.55,400,2020-09-14 16:35:00,AMEH
17.56,17.56,17.56,17.56,100,2020-09-14 16:40:00,AMEH
17.58,17.58,17.57,17.57,890,2020-09-14 16:45:00,AMEH
17.61,17.62,17.61,17.62,200,2020-09-14 16:50:00,AMEH
17.59,17.59,17.59,17.59,200,2020-09-14 16:55:00,AMEH
17.57,17.57,17.43,17.43,2800,2020-09-14 17:10:00,AMEH
17.42,17.43,17.32,17.33,1400,2020-09-14 17:15:00,AMEH
17.3233,17.33,17.3,17.33,700,2020-09-14 17:20:00,AMEH
17.3,17.3,17.3,17.3,215,2020-09-14 17:25:00,AMEH
17.29,17.29,17.26,17.26,200,2020-09-14 17:30:00,AMEH
17.25,17.29,17.25,17.29,900,2020-09-14 17:35:00,AMEH
17.32,17.33,17.305,17.305,600,2020-09-14 17:40:00,AMEH
17.31,17.33,17.31,17.33,300,2020-09-14 17:45:00,AMEH
17.3,17.3,17.27,17.27,400,2020-09-14 17:50:00,AMEH
17.27,17.27,17.2024,17.2024,450,2020-09-14 17:55:00,AMEH
17.2,17.22,17.19,17.19,500,2020-09-14 18:00:00,AMEH
17.21,17.21,17.21,17.21,100,2020-09-14 18:05:00,AMEH
17.2499,17.33,17.2104,17.29,4971,2020-09-14 18:10:00,AMEH
17.29,17.29,17.22,17.23,1000,2020-09-14 18:15:00,AMEH
17.22,17.22,17.22,17.22,100,2020-09-14 18:20:00,AMEH
17.22,17.245,17.22,17.245,492,2020-09-14 18:25:00,AMEH
17.27,17.28,17.245,17.27,600,2020-09-14 18:30:00,AMEH
17.29,17.29,17.29,17.29,100,2020-09-14 18:35:00,AMEH
