open,high,low,close,volume,datetime,symbol
2.64,2.64,2.64,2.64,1000,2021-06-01 13:00:00,CERC
2.65,2.6716,2.64,2.67,8724,2021-06-01 13:30:00,CERC
2.6605,2.68,2.6605,2.67,2615,2021-06-01 13:35:00,CERC
2.675,2.68,2.655,2.655,4341,2021-06-01 13:40:00,CERC
2.65,2.65,2.63,2.63,2915,2021-06-01 13:45:00,CERC
2.63,2.69,2.63,2.69,24275,2021-06-01 13:50:00,CERC
2.67,2.71,2.655,2.71,24799,2021-06-01 13:55:00,CERC
2.7,2.71,2.7,2.71,1029,2021-06-01 14:00:00,CERC
2.6945,2.71,2.68,2.7055,10049,2021-06-01 14:05:00,CERC
2.7,2.72,2.69,2.7,4712,2021-06-01 14:10:00,CERC
2.69,2.74,2.69,2.74,8512,2021-06-01 14:15:00,CERC
2.7279,2.7279,2.67,2.7,13283,2021-06-01 14:20:00,CERC
2.7001,2.706,2.69,2.7,20419,2021-06-01 14:25:00,CERC
2.69,2.72,2.69,2.72,921,2021-06-01 14:30:00,CERC
2.72,2.72,2.72,2.72,2500,2021-06-01 14:35:00,CERC
2.71,2.73,2.705,2.71,10983,2021-06-01 14:40:00,CERC
2.705,2.705,2.69,2.69,8251,2021-06-01 14:45:00,CERC
2.69,2.7,2.685,2.6999,9318,2021-06-01 14:50:00,CERC
2.6979,2.7,2.685,2.69,13256,2021-06-01 14:55:00,CERC
2.7,2.71,2.7,2.71,1473,2021-06-01 15:00:00,CERC
2.72,2.72,2.7101,2.72,2505,2021-06-01 15:05:00,CERC
2.7135,2.73,2.7135,2.73,14175,2021-06-01 15:10:00,CERC
2.74,2.74,2.73,2.74,5195,2021-06-01 15:15:00,CERC
2.74,2.74,2.7301,2.74,2850,2021-06-01 15:20:00,CERC
2.74,2.74,2.73,2.74,2500,2021-06-01 15:25:00,CERC
2.731,2.74,2.731,2.735,1150,2021-06-01 15:30:00,CERC
2.731,2.74,2.731,2.735,900,2021-06-01 15:35:00,CERC
2.73,2.73,2.721,2.721,4982,2021-06-01 15:40:00,CERC
2.725,2.755,2.725,2.75,22700,2021-06-01 15:45:00,CERC
2.7475,2.75,2.7401,2.75,6248,2021-06-01 15:50:00,CERC
2.76,2.79,2.755,2.79,15150,2021-06-01 15:55:00,CERC
2.79,2.79,2.7717,2.7717,7189,2021-06-01 16:00:00,CERC
2.78,2.78,2.77,2.775,18556,2021-06-01 16:05:00,CERC
2.77,2.77,2.77,2.77,1900,2021-06-01 16:10:00,CERC
2.78,2.8,2.78,2.8,5837,2021-06-01 16:15:00,CERC
2.8,2.8,2.78,2.78,5447,2021-06-01 16:20:00,CERC
