open,high,low,close,volume,datetime,symbol
22.3,23.18,22.3,22.685,4059,2021-06-01 13:30:00,KURA
22.57,22.57,22.13,22.21,2919,2021-06-01 13:35:00,KURA
22.275,22.275,22.0301,22.15,1600,2021-06-01 13:40:00,KURA
22.15,22.15,22.01,22.05,1783,2021-06-01 13:45:00,KURA
22.14,22.18,22.01,22.18,3979,2021-06-01 13:50:00,KURA
22.135,22.36,22.135,22.36,1143,2021-06-01 13:55:00,KURA
22.37,22.37,22.245,22.26,400,2021-06-01 14:00:00,KURA
22.27,22.285,22.23,22.23,500,2021-06-01 14:05:00,KURA
22.24,22.4399,22.21,22.38,4200,2021-06-01 14:10:00,KURA
22.375,22.44,22.32,22.44,632,2021-06-01 14:15:00,KURA
22.435,22.505,22.36,22.505,1821,2021-06-01 14:20:00,KURA
22.515,22.605,22.47,22.605,11979,2021-06-01 14:25:00,KURA
22.6026,22.64,22.58,22.63,1527,2021-06-01 14:30:00,KURA
22.585,22.595,22.55,22.595,2558,2021-06-01 14:35:00,KURA
22.61,22.61,22.6,22.6,231,2021-06-01 14:40:00,KURA
22.6,22.6,22.48,22.48,2400,2021-06-01 14:45:00,KURA
22.51,22.65,22.51,22.65,3310,2021-06-01 14:50:00,KURA
22.698,22.7,22.62,22.62,2671,2021-06-01 14:55:00,KURA
22.63,22.6839,22.6,22.645,1402,2021-06-01 15:00:00,KURA
22.6,22.705,22.58,22.58,3200,2021-06-01 15:05:00,KURA
22.56,22.58,22.49,22.49,1000,2021-06-01 15:10:00,KURA
22.52,22.57,22.52,22.565,1184,2021-06-01 15:15:00,KURA
22.555,22.555,22.5,22.5,600,2021-06-01 15:20:00,KURA
22.47,22.5,22.47,22.4701,1300,2021-06-01 15:25:00,KURA
22.47,22.495,22.47,22.49,500,2021-06-01 15:30:00,KURA
22.47,22.47,22.44,22.44,1800,2021-06-01 15:35:00,KURA
22.43,22.435,22.41,22.41,2254,2021-06-01 15:40:00,KURA
22.4,22.47,22.4,22.47,2676,2021-06-01 15:45:00,KURA
22.475,22.5,22.475,22.5,200,2021-06-01 15:50:00,KURA
22.475,22.475,22.47,22.47,800,2021-06-01 15:55:00,KURA
22.44,22.48,22.44,22.48,822,2021-06-01 16:00:00,KURA
22.505,22.58,22.49,22.58,7300,2021-06-01 16:05:00,KURA
22.58,22.61,22.565,22.61,811,2021-06-01 16:10:00,KURA
22.61,22.67,22.605,22.67,2200,2021-06-01 16:15:00,KURA
22.66,22.67,22.645,22.67,1400,2021-06-01 16:20:00,KURA
22.64,22.68,22.64,22.64,1000,2021-06-01 16:25:00,KURA
22.69,22.72,22.69,22.695,400,2021-06-01 16:30:00,KURA
22.695,22.7,22.67,22.67,500,2021-06-01 16:35:00,KURA
22.69,22.7,22.64,22.685,1800,2021-06-01 16:40:00,KURA
22.685,22.75,22.685,22.745,2500,2021-06-01 16:45:00,KURA
22.745,22.8,22.71,22.75,2768,2021-06-01 16:50:00,KURA
22.74,22.75,22.72,22.72,600,2021-06-01 16:55:00,KURA
22.74,22.78,22.72,22.74,3703,2021-06-01 17:00:00,KURA
22.73,22.75,22.7103,22.72,950,2021-06-01 17:05:00,KURA
22.75,22.78,22.72,22.78,3782,2021-06-01 17:10:00,KURA
22.795,22.795,22.76,22.76,1100,2021-06-01 17:15:00,KURA
22.76,22.79,22.74,22.79,2506,2021-06-01 17:20:00,KURA
22.795,22.81,22.795,22.81,400,2021-06-01 17:25:00,KURA
22.795,22.795,22.76,22.77,400,2021-06-01 17:30:00,KURA
22.75,22.75,22.715,22.715,1060,2021-06-01 17:35:00,KURA
22.71,22.72,22.705,22.72,1971,2021-06-01 17:40:00,KURA
22.73,22.81,22.73,22.81,1831,2021-06-01 17:45:00,KURA
22.82,22.82,22.79,22.8,1100,2021-06-01 17:50:00,KURA
22.81,22.81,22.77,22.77,1600,2021-06-01 17:55:00,KURA
22.76,22.78,22.74,22.74,1879,2021-06-01 18:00:00,KURA
22.73,22.77,22.7,22.75,1951,2021-06-01 18:05:00,KURA
22.73,22.755,22.73,22.73,500,2021-06-01 18:10:00,KURA
22.73,22.73,22.71,22.725,1960,2021-06-01 18:15:00,KURA
22.71,22.75,22.71,22.71,2490,2021-06-01 18:20:00,KURA
22.71,22.71,22.64,22.64,1000,2021-06-01 18:25:00,KURA
22.64,22.675,22.63,22.63,1753,2021-06-01 18:30:00,KURA
22.64,22.645,22.61,22.64,1845,2021-06-01 18:35:00,KURA
22.64,22.64,22.62,22.62,1152,2021-06-01 18:40:00,KURA
22.61,22.64,22.61,22.62,3448,2021-06-01 18:45:00,KURA
22.615,22.62,22.58,22.58,2935,2021-06-01 18:50:00,KURA
22.57,22.57,22.44,22.46,3664,2021-06-01 18:55:00,KURA
22.46,22.5,22.46,22.48,4000,2021-06-01 19:00:00,KURA
22.48,22.5,22.41,22.415,6057,2021-06-01 19:05:00,KURA
22.415,22.505,22.4,22.48,7850,2021-06-01 19:10:00,KURA
22.42,22.47,22.41,22.42,2751,2021-06-01 19:15:00,KURA
22.42,22.43,22.39,22.41,5460,2021-06-01 19:20:00,KURA
22.41,22.41,22.35,22.38,5208,2021-06-01 19:25:00,KURA
22.36,22.37,22.25,22.25,9000,2021-06-01 19:30:00,KURA
22.25,22.36,22.22,22.32,6952,2021-06-01 19:35:00,KURA
22.31,22.32,22.25,22.265,5722,2021-06-01 19:40:00,KURA
22.25,22.32,22.25,22.3,47043,2021-06-01 19:45:00,KURA
22.29,22.36,22.25,22.27,33749,2021-06-01 19:50:00,KURA
22.26,22.36,22.25,22.36,54394,2021-06-01 19:55:00,KURA
22.35,22.35,22.35,22.35,79486,2021-06-01 20:00:00,KURA
22.35,22.35,22.35,22.35,12679,2021-06-01 21:10:00,KURA
22.5,22.5,22.5,22.5,100,2021-06-02 12:00:00,KURA
22.57,22.635,22.28,22.4,11308,2021-06-02 13:30:00,KURA
22.41,22.59,22.21,22.24,22286,2021-06-02 13:35:00,KURA
22.265,22.48,22.17,22.29,2300,2021-06-02 13:40:00,KURA
22.415,22.45,22.25,22.41,2897,2021-06-02 13:45:00,KURA
22.32,22.33,22.275,22.33,1542,2021-06-02 13:50:00,KURA
22.29,22.36,22.28,22.305,1063,2021-06-02 13:55:00,KURA
22.37,22.5,22.29,22.5,26026,2021-06-02 14:00:00,KURA
22.47,22.59,22.47,22.59,1005,2021-06-02 14:05:00,KURA
22.495,22.69,22.485,22.645,1000,2021-06-02 14:15:00,KURA
22.64,22.66,22.62,22.66,2120,2021-06-02 14:20:00,KURA
22.68,22.74,22.6,22.694,4490,2021-06-02 14:25:00,KURA
22.7,22.72,22.665,22.675,3090,2021-06-02 14:30:00,KURA
22.7,22.7,22.62,22.64,3666,2021-06-02 14:35:00,KURA
22.65,22.745,22.64,22.745,1975,2021-06-02 14:40:00,KURA
22.78,22.78,22.72,22.77,2617,2021-06-02 14:45:00,KURA
22.77,22.8,22.7,22.73,1198,2021-06-02 14:50:00,KURA
22.6,22.66,22.54,22.54,846,2021-06-02 14:55:00,KURA
22.57,22.66,22.57,22.625,2512,2021-06-02 15:05:00,KURA
22.59,22.59,22.5,22.5,3916,2021-06-02 15:10:00,KURA
22.47,22.543,22.47,22.54,1772,2021-06-02 15:15:00,KURA
22.5,22.54,22.5,22.51,1798,2021-06-02 15:20:00,KURA
22.54,22.54,22.44,22.47,919,2021-06-02 15:25:00,KURA
22.48,22.48,22.41,22.41,2332,2021-06-02 15:30:00,KURA
22.33,22.37,22.3,22.365,2063,2021-06-02 15:35:00,KURA
22.35,22.35,22.28,22.3,1300,2021-06-02 15:40:00,KURA
22.29,22.31,22.25,22.28,2000,2021-06-02 15:45:00,KURA
22.285,22.33,22.285,22.29,2435,2021-06-02 15:50:00,KURA
22.27,22.3,22.26,22.3,2050,2021-06-02 15:55:00,KURA
22.27,22.27,22.215,22.215,2585,2021-06-02 16:00:00,KURA
22.235,22.25,22.22,22.25,2936,2021-06-02 16:05:00,KURA
22.23,22.24,22.22,22.22,1300,2021-06-02 16:10:00,KURA
22.235,22.235,22.16,22.16,1300,2021-06-02 16:15:00,KURA
22.145,22.22,22.14,22.14,3634,2021-06-02 16:20:00,KURA
22.13,22.14,22.03,22.08,5077,2021-06-02 16:25:00,KURA
22.09,22.09,22.05,22.07,700,2021-06-02 16:30:00,KURA
22.02,22.17,22.0,22.15,22879,2021-06-02 16:35:00,KURA
22.15,22.18,22.13,22.15,2343,2021-06-02 16:40:00,KURA
22.2,22.2,22.14,22.16,930,2021-06-02 16:45:00,KURA
22.18,22.19,22.05,22.05,9740,2021-06-02 16:50:00,KURA
22.04,22.12,22.0,22.12,14600,2021-06-02 16:55:00,KURA
22.08,22.08,22.06,22.06,1259,2021-06-02 17:00:00,KURA
22.05,22.055,22.01,22.02,3550,2021-06-02 17:05:00,KURA
22.02,22.02,21.8,21.8,7872,2021-06-02 17:10:00,KURA
21.81,21.87,21.81,21.83,3360,2021-06-02 17:15:00,KURA
21.81,21.85,21.78,21.8,1350,2021-06-02 17:20:00,KURA
21.78,21.88,21.78,21.86,6299,2021-06-02 17:25:00,KURA
21.84,21.875,21.84,21.875,200,2021-06-02 17:30:00,KURA
21.84,21.86,21.82,21.82,1400,2021-06-02 17:35:00,KURA
21.8,21.8,21.75,21.77,3564,2021-06-02 17:40:00,KURA
21.76,21.77,21.6301,21.6301,6684,2021-06-02 17:45:00,KURA
21.655,21.68,21.58,21.64,18518,2021-06-02 17:50:00,KURA
21.625,21.625,21.5,21.555,5659,2021-06-02 17:55:00,KURA
21.61,21.61,21.42,21.46,13700,2021-06-02 18:00:00,KURA
21.445,21.5316,21.405,21.5316,4571,2021-06-02 18:05:00,KURA
21.54,21.57,21.46,21.46,2100,2021-06-02 18:10:00,KURA
21.47,21.52,21.42,21.425,3266,2021-06-02 18:15:00,KURA
21.41,21.46,21.39,21.44,5215,2021-06-02 18:20:00,KURA
21.44,21.505,21.41,21.505,3700,2021-06-02 18:25:00,KURA
21.47,21.51,21.41,21.5,5130,2021-06-02 18:30:00,KURA
21.5042,21.5042,21.47,21.5,600,2021-06-02 18:35:00,KURA
21.5,21.57,21.44,21.57,8869,2021-06-02 18:40:00,KURA
21.545,21.545,21.49,21.51,1254,2021-06-02 18:45:00,KURA
21.5,21.515,21.48,21.5136,3600,2021-06-02 18:50:00,KURA
21.515,21.54,21.48,21.54,5253,2021-06-02 18:55:00,KURA
21.54,21.54,21.475,21.505,14497,2021-06-02 19:00:00,KURA
21.505,21.51,21.44,21.44,2817,2021-06-02 19:05:00,KURA
21.425,21.46,21.37,21.435,25548,2021-06-02 19:10:00,KURA
21.435,21.435,21.35,21.38,4180,2021-06-02 19:15:00,KURA
21.35,21.4,21.31,21.395,6508,2021-06-02 19:20:00,KURA
21.4,21.445,21.36,21.38,16230,2021-06-02 19:25:00,KURA
21.38,21.41,21.37,21.385,7884,2021-06-02 19:30:00,KURA
21.385,21.41,21.34,21.395,17316,2021-06-02 19:35:00,KURA
