open,high,low,close,volume,datetime,symbol
22.86,22.94,22.18,22.52,9302,2021-06-01 13:30:00,ORIC
22.58,22.58,22.58,22.58,100,2021-06-01 13:35:00,ORIC
22.53,22.53,22.4,22.4,200,2021-06-01 13:45:00,ORIC
22.28,22.28,22.28,22.28,100,2021-06-01 13:50:00,ORIC
22.49,22.49,22.4,22.42,500,2021-06-01 13:55:00,ORIC
22.5,22.5,22.44,22.44,400,2021-06-01 14:00:00,ORIC
22.41,22.41,22.3105,22.375,1100,2021-06-01 14:05:00,ORIC
22.3,22.35,22.3,22.35,200,2021-06-01 14:10:00,ORIC
22.3,22.35,22.28,22.28,300,2021-06-01 14:15:00,ORIC
22.31,22.5,22.31,22.36,4880,2021-06-01 14:20:00,ORIC
22.395,22.49,22.395,22.49,300,2021-06-01 14:25:00,ORIC
22.43,22.83,22.43,22.83,1000,2021-06-01 14:30:00,ORIC
22.83,22.83,22.66,22.66,988,2021-06-01 14:35:00,ORIC
22.605,22.605,22.3,22.45,1500,2021-06-01 14:45:00,ORIC
22.32,22.34,22.32,22.34,200,2021-06-01 14:50:00,ORIC
22.32,22.46,22.24,22.24,11400,2021-06-01 14:55:00,ORIC
22.275,22.48,22.24,22.48,1500,2021-06-01 15:00:00,ORIC
22.5,22.98,22.43,22.68,4063,2021-06-01 15:05:00,ORIC
22.9949,23.245,22.72,23.24,4300,2021-06-01 15:10:00,ORIC
23.25,23.5,23.09,23.5,400,2021-06-01 15:15:00,ORIC
23.5,23.5,23.32,23.33,800,2021-06-01 15:20:00,ORIC
23.175,23.175,23.175,23.175,300,2021-06-01 15:30:00,ORIC
23.15,23.15,23.15,23.15,100,2021-06-01 15:35:00,ORIC
23.26,23.26,23.16,23.24,700,2021-06-01 15:40:00,ORIC
23.215,23.215,23.215,23.215,300,2021-06-01 15:45:00,ORIC
23.225,23.31,23.225,23.31,2214,2021-06-01 15:50:00,ORIC
23.38,23.38,23.28,23.28,300,2021-06-01 15:55:00,ORIC
23.38,23.38,23.38,23.38,288,2021-06-01 16:00:00,ORIC
23.55,23.555,23.51,23.51,603,2021-06-01 16:05:00,ORIC
23.6,23.6,23.6,23.6,300,2021-06-01 16:15:00,ORIC
23.64,23.64,23.63,23.63,300,2021-06-01 16:30:00,ORIC
23.6,23.72,23.6,23.72,1400,2021-06-01 16:40:00,ORIC
23.665,23.665,23.665,23.665,100,2021-06-01 16:45:00,ORIC
23.61,23.61,23.33,23.44,790,2021-06-01 16:50:00,ORIC
23.33,23.33,23.29,23.29,200,2021-06-01 16:55:00,ORIC
23.355,23.355,23.355,23.355,200,2021-06-01 17:00:00,ORIC
23.39,23.45,23.37,23.39,995,2021-06-01 17:05:00,ORIC
