open,high,low,close,volume,datetime,symbol
4.93,4.93,4.93,4.93,1300,2021-06-01 11:05:00,OXSQ
4.93,4.93,4.93,4.93,200,2021-06-01 12:25:00,OXSQ
4.9599,4.96,4.9599,4.96,1099,2021-06-01 12:55:00,OXSQ
4.96,4.99,4.96,4.99,6437,2021-06-01 13:00:00,OXSQ
4.96,4.99,4.93,4.9301,38253,2021-06-01 13:30:00,OXSQ
4.9447,4.95,4.93,4.94,4191,2021-06-01 13:35:00,OXSQ
4.93,4.95,4.93,4.95,10814,2021-06-01 13:40:00,OXSQ
4.95,4.97,4.945,4.97,27151,2021-06-01 13:45:00,OXSQ
4.965,4.965,4.965,4.965,3000,2021-06-01 13:50:00,OXSQ
4.97,4.98,4.95,4.9744,11215,2021-06-01 13:55:00,OXSQ
4.98,4.99,4.9798,4.9822,23004,2021-06-01 14:00:00,OXSQ
4.9801,4.99,4.98,4.99,6913,2021-06-01 14:05:00,OXSQ
4.9801,4.99,4.98,4.98,39711,2021-06-01 14:10:00,OXSQ
4.99,4.99,4.99,4.99,6649,2021-06-01 14:15:00,OXSQ
4.9828,4.99,4.9801,4.99,5459,2021-06-01 14:20:00,OXSQ
4.99,5.0,4.9817,5.0,3292,2021-06-01 14:25:00,OXSQ
4.9946,5.0,4.9929,4.9929,2100,2021-06-01 14:30:00,OXSQ
4.994,5.0,4.994,5.0,5511,2021-06-01 14:35:00,OXSQ
4.9999,5.0,4.9998,5.0,640,2021-06-01 14:40:00,OXSQ
4.995,5.0,4.985,4.985,2000,2021-06-01 14:45:00,OXSQ
4.98,4.9801,4.95,4.951,3031,2021-06-01 14:50:00,OXSQ
4.96,4.961,4.94,4.94,1501,2021-06-01 14:55:00,OXSQ
4.95,4.96,4.95,4.96,400,2021-06-01 15:00:00,OXSQ
4.97,4.98,4.961,4.975,4322,2021-06-01 15:05:00,OXSQ
4.99,4.99,4.98,4.99,600,2021-06-01 15:10:00,OXSQ
4.989,5.0,4.98,4.9834,2015,2021-06-01 15:15:00,OXSQ
4.99,4.9951,4.98,4.98,1200,2021-06-01 15:20:00,OXSQ
4.982,4.99,4.98,4.99,4075,2021-06-01 15:25:00,OXSQ
4.98,4.98,4.97,4.97,548,2021-06-01 15:30:00,OXSQ
4.97,4.97,4.97,4.97,1210,2021-06-01 15:35:00,OXSQ
4.9701,4.971,4.9701,4.971,3200,2021-06-01 15:40:00,OXSQ
4.9701,4.9701,4.9701,4.9701,1900,2021-06-01 15:45:00,OXSQ
