open,high,low,close,volume,datetime,symbol
53.11,53.5,53.11,53.5,464,2021-06-01 11:00:00,PI
52.51,52.51,52.05,52.35,3960,2021-06-01 13:30:00,PI
52.38,52.46,52.33,52.43,692,2021-06-01 13:35:00,PI
52.71,52.71,52.3038,52.37,835,2021-06-01 13:40:00,PI
52.44,52.44,51.58,51.58,1832,2021-06-01 13:45:00,PI
51.65,51.9782,51.65,51.67,875,2021-06-01 13:50:00,PI
52.05,52.05,51.79,51.84,1740,2021-06-01 13:55:00,PI
51.96,52.25,51.96,52.25,668,2021-06-01 14:00:00,PI
52.2601,52.2601,52.2601,52.2601,197,2021-06-01 14:05:00,PI
52.26,52.28,52.13,52.28,936,2021-06-01 14:10:00,PI
51.99,52.12,51.62,51.95,920,2021-06-01 14:15:00,PI
51.8,51.8,51.35,51.705,1300,2021-06-01 14:20:00,PI
51.56,51.61,51.42,51.61,400,2021-06-01 14:25:00,PI
51.91,52.18,51.91,52.18,700,2021-06-01 14:30:00,PI
52.18,52.18,52.05,52.05,400,2021-06-01 14:35:00,PI
51.57,52.04,51.54,52.04,1200,2021-06-01 14:40:00,PI
51.64,51.64,51.64,51.64,200,2021-06-01 14:45:00,PI
51.63,51.72,51.55,51.55,300,2021-06-01 15:00:00,PI
51.71,51.73,51.6,51.6,430,2021-06-01 15:05:00,PI
51.5265,51.5265,51.5265,51.5265,400,2021-06-01 15:10:00,PI
51.784,51.835,51.6,51.82,1042,2021-06-01 15:15:00,PI
51.69,51.69,51.6,51.6,241,2021-06-01 15:20:00,PI
51.4501,51.4501,51.4501,51.4501,182,2021-06-01 15:25:00,PI
51.67,51.68,51.645,51.645,500,2021-06-01 15:30:00,PI
51.74,52.24,51.69,51.95,4587,2021-06-01 15:35:00,PI
52.22,52.24,51.9701,52.18,1227,2021-06-01 15:40:00,PI
52.1,52.1,51.76,51.76,200,2021-06-01 15:45:00,PI
51.86,52.1,51.86,51.915,300,2021-06-01 15:50:00,PI
51.949,52.07,51.949,52.0,1612,2021-06-01 15:55:00,PI
51.99,51.99,51.99,51.99,100,2021-06-01 16:00:00,PI
52.02,52.04,51.85,52.0,2224,2021-06-01 16:05:00,PI
52.01,52.17,52.0,52.17,2353,2021-06-01 16:10:00,PI
52.17,52.35,52.05,52.3324,1100,2021-06-01 16:15:00,PI
52.34,52.36,52.34,52.36,400,2021-06-01 16:20:00,PI
52.39,52.39,52.39,52.39,100,2021-06-01 16:25:00,PI
52.53,52.53,52.36,52.36,400,2021-06-01 16:30:00,PI
52.4799,52.4799,52.4799,52.4799,116,2021-06-01 16:35:00,PI
52.3938,52.3938,52.3938,52.3938,124,2021-06-01 16:40:00,PI
52.41,52.48,52.41,52.48,200,2021-06-01 16:45:00,PI
52.38,52.45,52.38,52.45,300,2021-06-01 16:50:00,PI
52.37,52.5,52.37,52.5,567,2021-06-01 16:55:00,PI
52.42,52.42,52.42,52.42,100,2021-06-01 17:05:00,PI
52.44,52.69,52.44,52.69,433,2021-06-01 17:10:00,PI
52.62,52.7,52.61,52.7,400,2021-06-01 17:20:00,PI
52.88,52.88,52.66,52.66,200,2021-06-01 17:25:00,PI
52.67,52.67,52.66,52.66,200,2021-06-01 17:30:00,PI
52.8,52.8,52.57,52.57,301,2021-06-01 17:35:00,PI
52.5898,52.5898,52.5898,52.5898,214,2021-06-01 17:40:00,PI
52.73,52.83,52.73,52.83,300,2021-06-01 17:45:00,PI
52.69,52.69,52.69,52.69,100,2021-06-01 17:50:00,PI
52.62,52.63,52.57,52.57,1013,2021-06-01 17:55:00,PI
52.66,52.66,52.34,52.38,2045,2021-06-01 18:00:00,PI
52.46,52.5,52.39,52.45,4363,2021-06-01 18:05:00,PI
52.39,52.44,52.35,52.35,500,2021-06-01 18:10:00,PI
52.42,52.54,52.28,52.51,1719,2021-06-01 18:15:00,PI
52.58,52.59,52.58,52.59,300,2021-06-01 18:20:00,PI
52.585,52.585,52.52,52.52,500,2021-06-01 18:25:00,PI
52.66,52.73,52.57,52.73,502,2021-06-01 18:35:00,PI
52.86,52.86,52.81,52.85,900,2021-06-01 18:40:00,PI
52.9,52.9,52.9,52.9,100,2021-06-01 18:45:00,PI
52.88,52.955,52.88,52.955,200,2021-06-01 18:50:00,PI
52.76,52.82,52.76,52.8,300,2021-06-01 18:55:00,PI
52.8616,52.8616,52.8616,52.8616,150,2021-06-01 19:00:00,PI
52.82,52.9,52.82,52.9,500,2021-06-01 19:05:00,PI
52.716,52.79,52.71,52.79,600,2021-06-01 19:10:00,PI
52.79,52.79,52.74,52.74,300,2021-06-01 19:15:00,PI
52.65,52.67,52.65,52.67,200,2021-06-01 19:20:00,PI
52.56,52.62,52.56,52.62,700,2021-06-01 19:25:00,PI
52.65,52.81,52.65,52.66,700,2021-06-01 19:30:00,PI
52.64,52.66,52.64,52.66,712,2021-06-01 19:35:00,PI
52.7,52.7,52.61,52.65,1000,2021-06-01 19:40:00,PI
52.68,52.69,52.6,52.6,500,2021-06-01 19:45:00,PI
52.68,52.71,52.5,52.665,4772,2021-06-01 19:50:00,PI
52.61,52.69,52.52,52.64,8318,2021-06-01 19:55:00,PI
52.63,52.63,52.63,52.63,24572,2021-06-01 20:00:00,PI
52.56,52.61,52.1,52.1,2443,2021-06-02 13:30:00,PI
52.39,52.53,52.39,52.53,679,2021-06-02 13:35:00,PI
52.83,52.83,52.82,52.83,500,2021-06-02 13:40:00,PI
52.99,52.99,52.99,52.99,300,2021-06-02 13:45:00,PI
53.01,53.01,53.01,53.01,100,2021-06-02 13:50:00,PI
52.66,52.66,51.97,51.97,406,2021-06-02 13:55:00,PI
52.0,52.22,51.96,52.22,1400,2021-06-02 14:00:00,PI
52.2,52.2,52.2,52.2,100,2021-06-02 14:10:00,PI
52.2567,52.2567,52.12,52.12,259,2021-06-02 14:15:00,PI
52.06,52.06,52.06,52.06,100,2021-06-02 14:20:00,PI
52.14,52.22,52.14,52.22,1000,2021-06-02 14:25:00,PI
52.28,52.68,52.28,52.54,700,2021-06-02 14:30:00,PI
52.4,52.4,52.4,52.4,100,2021-06-02 14:35:00,PI
52.44,52.58,52.44,52.58,200,2021-06-02 14:40:00,PI
52.66,52.66,52.6,52.6,500,2021-06-02 14:45:00,PI
52.54,52.6,52.54,52.6,300,2021-06-02 14:50:00,PI
52.53,52.53,52.53,52.53,100,2021-06-02 14:55:00,PI
52.45,52.45,52.4,52.4,300,2021-06-02 15:00:00,PI
52.56,52.56,52.4341,52.55,1798,2021-06-02 15:05:00,PI
52.58,52.58,52.385,52.42,3528,2021-06-02 15:10:00,PI
52.465,52.62,52.465,52.62,800,2021-06-02 15:20:00,PI
52.65,52.67,52.64,52.64,500,2021-06-02 15:25:00,PI
52.7,52.78,52.7,52.76,447,2021-06-02 15:30:00,PI
52.75,52.75,52.7375,52.7375,281,2021-06-02 15:45:00,PI
52.705,52.705,52.695,52.695,200,2021-06-02 15:50:00,PI
52.7,52.7,52.59,52.59,513,2021-06-02 15:55:00,PI
52.62,52.62,52.6057,52.6057,1441,2021-06-02 16:05:00,PI
52.6,52.6,52.6,52.6,100,2021-06-02 16:10:00,PI
52.53,52.53,52.495,52.495,200,2021-06-02 16:15:00,PI
52.4,52.4,52.4,52.4,100,2021-06-02 16:20:00,PI
52.35,52.38,52.18,52.18,900,2021-06-02 16:25:00,PI
52.29,52.3,52.19,52.2,1700,2021-06-02 16:30:00,PI
52.28,52.45,52.19,52.45,1999,2021-06-02 16:35:00,PI
52.43,52.43,52.43,52.43,100,2021-06-02 16:40:00,PI
52.47,52.545,52.47,52.545,200,2021-06-02 16:50:00,PI
52.62,52.755,52.62,52.755,700,2021-06-02 16:55:00,PI
52.74,52.74,52.74,52.74,100,2021-06-02 17:00:00,PI
52.56,52.58,52.56,52.58,200,2021-06-02 17:10:00,PI
52.59,52.68,52.35,52.35,1100,2021-06-02 17:20:00,PI
52.37,52.59,52.37,52.59,700,2021-06-02 17:25:00,PI
52.59,52.76,52.59,52.64,400,2021-06-02 17:30:00,PI
52.73,52.73,52.61,52.61,200,2021-06-02 17:35:00,PI
52.48,52.48,52.4,52.4,300,2021-06-02 17:45:00,PI
52.4,52.41,52.39,52.39,602,2021-06-02 17:50:00,PI
52.38,52.38,52.38,52.38,100,2021-06-02 17:55:00,PI
52.43,52.46,52.43,52.4391,500,2021-06-02 18:00:00,PI
52.51,52.51,52.51,52.51,100,2021-06-02 18:05:00,PI
52.28,52.28,52.22,52.22,200,2021-06-02 18:10:00,PI
52.26,52.3,52.26,52.26,400,2021-06-02 18:15:00,PI
52.28,52.34,52.28,52.34,200,2021-06-02 18:20:00,PI
52.305,52.32,52.15,52.32,600,2021-06-02 18:30:00,PI
52.315,52.315,52.22,52.22,500,2021-06-02 18:35:00,PI
52.22,52.24,52.14,52.14,2542,2021-06-02 18:40:00,PI
52.11,52.11,51.87,51.87,600,2021-06-02 18:45:00,PI
51.88,51.88,51.66,51.68,1000,2021-06-02 18:50:00,PI
51.85,51.9,51.85,51.9,300,2021-06-02 18:55:00,PI
51.77,51.84,51.75,51.8,700,2021-06-02 19:00:00,PI
51.89,51.915,51.84,51.84,3194,2021-06-02 19:05:00,PI
