open,high,low,close,volume,datetime,symbol
19.73,19.75,19.5,19.75,5719,2021-06-01 13:30:00,RMBS
19.62,19.75,19.62,19.74,4545,2021-06-01 13:35:00,RMBS
19.74,19.75,19.72,19.74,5730,2021-06-01 13:40:00,RMBS
19.72,19.72,19.7,19.7,600,2021-06-01 13:45:00,RMBS
19.69,19.7,19.67,19.68,2202,2021-06-01 13:50:00,RMBS
19.71,19.7253,19.71,19.71,1064,2021-06-01 13:55:00,RMBS
19.71,19.71,19.69,19.705,1000,2021-06-01 14:00:00,RMBS
19.7,19.7,19.67,19.67,500,2021-06-01 14:05:00,RMBS
19.66,19.66,19.55,19.55,1100,2021-06-01 14:10:00,RMBS
19.52,19.56,19.49,19.54,7316,2021-06-01 14:15:00,RMBS
19.53,19.6,19.53,19.59,3716,2021-06-01 14:20:00,RMBS
19.58,19.6096,19.57,19.59,2935,2021-06-01 14:25:00,RMBS
19.6,19.65,19.6,19.6,3449,2021-06-01 14:30:00,RMBS
19.59,19.6,19.56,19.56,8324,2021-06-01 14:35:00,RMBS
19.56,19.64,19.56,19.62,1600,2021-06-01 14:40:00,RMBS
19.59,19.59,19.48,19.48,4630,2021-06-01 14:45:00,RMBS
19.48,19.49,19.44,19.46,2657,2021-06-01 14:50:00,RMBS
19.47,19.47,19.44,19.45,1650,2021-06-01 14:55:00,RMBS
19.46,19.5,19.46,19.46,6887,2021-06-01 15:00:00,RMBS
19.47,19.51,19.46,19.51,2200,2021-06-01 15:05:00,RMBS
19.52,19.54,19.5101,19.53,2307,2021-06-01 15:10:00,RMBS
19.52,19.53,19.52,19.53,885,2021-06-01 15:15:00,RMBS
19.54,19.56,19.54,19.55,1619,2021-06-01 15:20:00,RMBS
19.55,19.59,19.55,19.56,2950,2021-06-01 15:25:00,RMBS
19.58,19.59,19.58,19.59,597,2021-06-01 15:30:00,RMBS
19.62,19.65,19.61,19.61,3965,2021-06-01 15:35:00,RMBS
19.61,19.61,19.6,19.6,1250,2021-06-01 15:40:00,RMBS
19.6,19.61,19.57,19.61,8254,2021-06-01 15:45:00,RMBS
19.61,19.61,19.59,19.59,700,2021-06-01 15:50:00,RMBS
19.59,19.6,19.58,19.6,1000,2021-06-01 15:55:00,RMBS
19.59,19.59,19.57,19.59,1398,2021-06-01 16:00:00,RMBS
19.585,19.59,19.575,19.585,2118,2021-06-01 16:05:00,RMBS
19.585,19.585,19.57,19.57,1069,2021-06-01 16:10:00,RMBS
19.58,19.585,19.575,19.575,1300,2021-06-01 16:15:00,RMBS
19.57,19.57,19.56,19.57,1986,2021-06-01 16:20:00,RMBS
19.56,19.57,19.56,19.56,900,2021-06-01 16:25:00,RMBS
19.57,19.57,19.56,19.565,1110,2021-06-01 16:30:00,RMBS
19.565,19.57,19.55,19.57,3560,2021-06-01 16:35:00,RMBS
19.57,19.61,19.57,19.61,1628,2021-06-01 16:40:00,RMBS
19.605,19.62,19.605,19.62,929,2021-06-01 16:45:00,RMBS
19.61,19.61,19.59,19.59,1093,2021-06-01 16:50:00,RMBS
19.58,19.6,19.58,19.6,800,2021-06-01 16:55:00,RMBS
19.61,19.61,19.58,19.58,2880,2021-06-01 17:00:00,RMBS
19.57,19.59,19.56,19.59,1232,2021-06-01 17:05:00,RMBS
19.59,19.59,19.57,19.57,1100,2021-06-01 17:10:00,RMBS
19.58,19.59,19.57,19.57,2528,2021-06-01 17:15:00,RMBS
19.57,19.58,19.567,19.58,1361,2021-06-01 17:20:00,RMBS
19.605,19.62,19.605,19.62,1328,2021-06-01 17:25:00,RMBS
19.61,19.64,19.61,19.64,5500,2021-06-01 17:30:00,RMBS
19.63,19.63,19.62,19.63,698,2021-06-01 17:35:00,RMBS
19.62,19.62,19.61,19.61,700,2021-06-01 17:40:00,RMBS
19.62,19.63,19.62,19.63,2356,2021-06-01 17:45:00,RMBS
19.63,19.63,19.63,19.63,700,2021-06-01 17:50:00,RMBS
19.63,19.64,19.63,19.63,1900,2021-06-01 17:55:00,RMBS
19.63,19.63,19.6213,19.63,916,2021-06-01 18:00:00,RMBS
19.64,19.65,19.64,19.64,2800,2021-06-01 18:05:00,RMBS
19.65,19.66,19.65,19.65,1699,2021-06-01 18:10:00,RMBS
19.645,19.66,19.645,19.66,951,2021-06-01 18:15:00,RMBS
19.67,19.68,19.66,19.67,2000,2021-06-01 18:20:00,RMBS
19.69,19.69,19.67,19.67,1800,2021-06-01 18:25:00,RMBS
19.66,19.67,19.66,19.67,500,2021-06-01 18:30:00,RMBS
19.67,19.6949,19.67,19.685,4237,2021-06-01 18:35:00,RMBS
19.69,19.74,19.69,19.74,18919,2021-06-01 18:40:00,RMBS
19.735,19.74,19.735,19.74,4810,2021-06-01 18:45:00,RMBS
19.74,19.74,19.72,19.72,6046,2021-06-01 18:50:00,RMBS
19.725,19.74,19.715,19.73,3625,2021-06-01 18:55:00,RMBS
19.74,19.74,19.73,19.735,3480,2021-06-01 19:00:00,RMBS
19.74,19.74,19.72,19.73,4595,2021-06-01 19:05:00,RMBS
19.73,19.74,19.72,19.73,2865,2021-06-01 19:10:00,RMBS
19.74,19.76,19.73,19.75,4511,2021-06-01 19:15:00,RMBS
19.745,19.75,19.74,19.74,4424,2021-06-01 19:20:00,RMBS
19.73,19.73,19.71,19.715,1317,2021-06-01 19:25:00,RMBS
19.715,19.715,19.71,19.71,1209,2021-06-01 19:30:00,RMBS
19.72,19.73,19.71,19.725,8391,2021-06-01 19:35:00,RMBS
19.73,19.735,19.73,19.735,2226,2021-06-01 19:40:00,RMBS
19.73,19.73,19.72,19.725,4300,2021-06-01 19:45:00,RMBS
19.72,19.72,19.66,19.69,13242,2021-06-01 19:50:00,RMBS
19.69,19.705,19.63,19.68,22514,2021-06-01 19:55:00,RMBS
19.67,19.68,19.67,19.68,803114,2021-06-01 20:00:00,RMBS
19.7,19.7,19.58,19.68,5794,2021-06-02 13:30:00,RMBS
19.63,19.63,19.61,19.63,4431,2021-06-02 13:35:00,RMBS
19.635,19.68,19.63,19.68,1399,2021-06-02 13:40:00,RMBS
19.71,19.72,19.7,19.71,3200,2021-06-02 13:45:00,RMBS
19.725,19.725,19.66,19.68,1719,2021-06-02 13:50:00,RMBS
19.67,19.675,19.63,19.66,2500,2021-06-02 13:55:00,RMBS
19.67,19.69,19.65,19.69,7361,2021-06-02 14:00:00,RMBS
19.69,19.71,19.685,19.69,7241,2021-06-02 14:05:00,RMBS
19.68,19.68,19.63,19.64,1709,2021-06-02 14:10:00,RMBS
19.64,19.65,19.63,19.64,2142,2021-06-02 14:15:00,RMBS
19.64,19.66,19.64,19.66,901,2021-06-02 14:20:00,RMBS
19.65,19.65,19.65,19.65,499,2021-06-02 14:25:00,RMBS
19.67,19.72,19.67,19.71,7460,2021-06-02 14:30:00,RMBS
19.7,19.715,19.7,19.715,3475,2021-06-02 14:35:00,RMBS
19.72,19.77,19.72,19.77,1892,2021-06-02 14:40:00,RMBS
19.78,19.785,19.78,19.785,900,2021-06-02 14:45:00,RMBS
19.76,19.76,19.71,19.7397,3963,2021-06-02 14:50:00,RMBS
19.75,19.76,19.73,19.74,1515,2021-06-02 14:55:00,RMBS
19.7446,19.78,19.7401,19.7401,1750,2021-06-02 15:00:00,RMBS
19.75,19.76,19.74,19.74,1626,2021-06-02 15:05:00,RMBS
19.72,19.72,19.71,19.71,800,2021-06-02 15:10:00,RMBS
19.73,19.735,19.71,19.71,802,2021-06-02 15:15:00,RMBS
