open,high,low,close,volume,datetime,symbol
22.3,22.3,22.3,22.3,202,2021-06-01 13:30:00,RNDB
22.07,22.07,21.9901,21.9901,400,2021-06-01 13:35:00,RNDB
21.9995,21.9995,21.99,21.99,200,2021-06-01 13:50:00,RNDB
21.99,21.99,21.99,21.99,100,2021-06-01 14:05:00,RNDB
21.835,21.835,21.835,21.835,100,2021-06-01 14:15:00,RNDB
21.98,21.98,21.98,21.98,617,2021-06-01 14:50:00,RNDB
21.98,21.99,21.98,21.99,500,2021-06-01 14:55:00,RNDB
21.96,21.99,21.96,21.97,1010,2021-06-01 15:00:00,RNDB
21.99,21.99,21.99,21.99,600,2021-06-01 15:05:00,RNDB
21.99,22.6,21.99,22.6,1600,2021-06-01 15:10:00,RNDB
22.77,22.77,22.77,22.77,373,2021-06-01 15:15:00,RNDB
22.35,22.35,22.22,22.22,500,2021-06-01 15:40:00,RNDB
22.35,22.35,22.25,22.25,500,2021-06-01 16:25:00,RNDB
22.32,22.32,22.32,22.32,100,2021-06-01 18:55:00,RNDB
22.34,22.34,22.32,22.32,206,2021-06-01 19:00:00,RNDB
22.32,22.32,22.32,22.32,100,2021-06-02 13:30:00,RNDB
22.05,22.15,22.05,22.15,522,2021-06-02 15:00:00,RNDB
22.2,22.2,22.2,22.2,120,2021-06-02 15:10:00,RNDB
22.11,22.11,21.99,22.0,400,2021-06-02 17:35:00,RNDB
21.99,21.99,21.99,21.99,322,2021-06-03 13:50:00,RNDB
22.585,22.585,22.585,22.585,300,2021-06-03 14:30:00,RNDB
22.25,22.25,22.18,22.18,700,2021-06-03 15:15:00,RNDB
22.13,22.13,22.0,22.0,425,2021-06-03 15:30:00,RNDB
21.99,21.99,21.99,21.99,400,2021-06-03 16:25:00,RNDB
21.68,21.69,21.66,21.69,2627,2021-06-03 16:35:00,RNDB
22.0,22.0,21.92,22.0,300,2021-06-03 16:45:00,RNDB
22.44,22.44,22.44,22.44,100,2021-06-03 19:45:00,RNDB
22.45,22.45,22.45,22.45,100,2021-06-03 19:50:00,RNDB
22.44,22.44,22.4,22.4,202,2021-06-03 19:55:00,RNDB
22.37,22.37,22.37,22.37,160,2021-06-03 20:00:00,RNDB
22.3,22.3,22.25,22.27,1214,2021-06-04 16:20:00,RNDB
22.33,22.33,22.33,22.33,180,2021-06-04 17:10:00,RNDB
22.33,22.33,22.33,22.33,200,2021-06-04 17:45:00,RNDB
22.15,22.188,22.15,22.188,300,2021-06-04 19:45:00,RNDB
22.16,22.17,22.16,22.17,500,2021-06-04 19:50:00,RNDB
22.18,22.3,22.18,22.3,258,2021-06-04 19:55:00,RNDB
