open,high,low,close,volume,datetime,symbol
23.18,23.18,23.18,23.18,305,2021-06-01 13:30:00,STXB
23.11,23.2394,22.8501,22.8501,2227,2021-06-01 13:35:00,STXB
22.8501,22.8501,22.8501,22.8501,110,2021-06-01 13:40:00,STXB
23.07,23.17,23.07,23.17,240,2021-06-01 13:50:00,STXB
23.0,23.095,22.925,23.095,5066,2021-06-01 13:55:00,STXB
22.99,23.075,22.99,23.075,300,2021-06-01 14:00:00,STXB
23.04,23.04,23.04,23.04,100,2021-06-01 14:15:00,STXB
23.19,23.19,23.19,23.19,100,2021-06-01 14:30:00,STXB
23.06,23.06,22.9,22.9,1200,2021-06-01 15:15:00,STXB
22.95,22.95,22.93,22.93,500,2021-06-01 15:20:00,STXB
22.96,22.96,22.96,22.96,100,2021-06-01 15:50:00,STXB
22.98,22.98,22.89,22.89,300,2021-06-01 17:05:00,STXB
22.86,22.921,22.86,22.921,2000,2021-06-01 17:10:00,STXB
22.85,22.85,22.85,22.85,154,2021-06-01 17:15:00,STXB
22.84,22.84,22.64,22.64,400,2021-06-01 17:20:00,STXB
22.68,22.68,22.68,22.68,100,2021-06-01 17:25:00,STXB
22.79,22.81,22.72,22.72,400,2021-06-01 17:40:00,STXB
22.63,22.82,22.63,22.71,2966,2021-06-01 17:50:00,STXB
22.655,22.98,22.655,22.98,1000,2021-06-01 18:00:00,STXB
22.86,22.86,22.85,22.85,419,2021-06-01 18:05:00,STXB
22.82,22.82,22.82,22.82,100,2021-06-01 18:25:00,STXB
22.94,22.94,22.94,22.94,100,2021-06-01 18:30:00,STXB
22.96,22.96,22.96,22.96,100,2021-06-01 18:40:00,STXB
22.91,22.91,22.91,22.91,100,2021-06-01 18:45:00,STXB
22.98,22.98,22.97,22.98,900,2021-06-01 19:10:00,STXB
22.98,22.98,22.98,22.98,100,2021-06-01 19:15:00,STXB
22.975,22.975,22.975,22.975,100,2021-06-01 19:25:00,STXB
22.98,22.98,22.98,22.98,1410,2021-06-01 19:40:00,STXB
22.99,22.99,22.99,22.99,200,2021-06-01 19:45:00,STXB
23.01,23.015,22.98,22.98,300,2021-06-01 19:50:00,STXB
22.99,23.025,22.93,23.0,2657,2021-06-01 19:55:00,STXB
22.98,22.98,22.98,22.98,4821,2021-06-01 20:00:00,STXB
23.12,23.12,23.12,23.12,361,2021-06-02 13:30:00,STXB
23.27,23.27,23.27,23.27,100,2021-06-02 13:35:00,STXB
23.29,23.29,23.29,23.29,100,2021-06-02 13:40:00,STXB
23.12,23.15,23.12,23.15,200,2021-06-02 13:50:00,STXB
22.95,23.06,22.95,23.06,400,2021-06-02 14:10:00,STXB
23.07,23.07,23.065,23.07,300,2021-06-02 14:15:00,STXB
23.035,23.035,23.035,23.035,100,2021-06-02 14:20:00,STXB
22.95,22.95,22.95,22.95,100,2021-06-02 14:35:00,STXB
23.01,23.01,22.9,22.9,500,2021-06-02 15:00:00,STXB
22.99,23.01,22.99,23.01,200,2021-06-02 15:20:00,STXB
23.0,23.0,23.0,23.0,100,2021-06-02 15:30:00,STXB
23.0,23.05,22.9,23.05,15185,2021-06-02 15:35:00,STXB
23.06,23.06,23.05,23.06,667,2021-06-02 16:05:00,STXB
23.06,23.06,23.0,23.03,3320,2021-06-02 16:25:00,STXB
23.03,23.035,23.03,23.03,500,2021-06-02 16:40:00,STXB
23.04,23.14,22.984,23.0578,670,2021-06-02 17:00:00,STXB
22.96,22.96,22.96,22.96,100,2021-06-02 17:05:00,STXB
23.05,23.06,23.03,23.05,1590,2021-06-02 17:10:00,STXB
23.0,23.05,23.0,23.05,200,2021-06-02 17:15:00,STXB
23.04,23.04,23.04,23.04,100,2021-06-02 17:50:00,STXB
23.03,23.03,23.03,23.03,100,2021-06-02 18:05:00,STXB
23.0,23.0,22.95,22.95,1400,2021-06-02 18:15:00,STXB
22.95,22.95,22.95,22.95,100,2021-06-02 18:35:00,STXB
22.95,23.05,22.95,23.05,3607,2021-06-02 19:00:00,STXB
22.975,22.975,22.955,22.97,1137,2021-06-02 19:30:00,STXB
22.945,22.945,22.945,22.945,100,2021-06-02 19:35:00,STXB
22.98,22.98,22.98,22.98,400,2021-06-02 19:40:00,STXB
23.0,23.04,22.99,23.04,2100,2021-06-02 19:50:00,STXB
23.02,23.02,23.0,23.0,2881,2021-06-02 19:55:00,STXB
23.01,23.01,23.01,23.01,2863,2021-06-02 20:00:00,STXB
23.005,23.0499,23.005,23.0499,200,2021-06-03 13:35:00,STXB
22.92,23.06,22.92,23.06,982,2021-06-03 14:05:00,STXB
23.06,23.06,23.06,23.06,498,2021-06-03 14:10:00,STXB
23.06,23.06,23.06,23.06,300,2021-06-03 14:15:00,STXB
23.08,23.08,23.06,23.06,400,2021-06-03 14:20:00,STXB
23.14,23.14,23.14,23.14,200,2021-06-03 14:40:00,STXB
23.19,23.19,23.19,23.19,100,2021-06-03 15:00:00,STXB
23.1,23.1,23.09,23.1,2568,2021-06-03 15:45:00,STXB
23.13,23.13,23.13,23.13,234,2021-06-03 15:55:00,STXB
23.07,23.07,23.07,23.07,100,2021-06-03 16:05:00,STXB
23.18,23.22,23.18,23.22,1749,2021-06-03 16:15:00,STXB
23.34,23.42,23.34,23.41,5012,2021-06-03 16:25:00,STXB
23.43,23.43,23.42,23.42,271,2021-06-03 16:30:00,STXB
