open,high,low,close,volume,datetime,symbol
100.55,100.58,100.55,100.58,1306,2021-06-01 13:25:00,CSX
100.41,100.92,100.41,100.78,69751,2021-06-01 13:30:00,CSX
100.81,100.87,100.675,100.76,53281,2021-06-01 13:35:00,CSX
100.78,100.81,100.585,100.79,32249,2021-06-01 13:40:00,CSX
100.8,100.835,100.4951,100.5,40153,2021-06-01 13:45:00,CSX
100.52,100.96,100.52,100.94,33815,2021-06-01 13:50:00,CSX
100.95,101.04,100.9,101.02,38153,2021-06-01 13:55:00,CSX
100.99,101.07,100.89,100.93,40028,2021-06-01 14:00:00,CSX
100.93,101.09,100.9,101.06,20368,2021-06-01 14:05:00,CSX
101.05,101.15,100.98,101.06,31040,2021-06-01 14:10:00,CSX
101.05,101.05,100.885,101.02,29031,2021-06-01 14:15:00,CSX
101.01,101.065,100.95,100.95,35122,2021-06-01 14:20:00,CSX
100.97,100.97,100.79,100.86,23823,2021-06-01 14:25:00,CSX
100.87,100.96,100.81,100.92,24880,2021-06-01 14:30:00,CSX
100.92,100.985,100.87,100.95,25470,2021-06-01 14:35:00,CSX
100.96,101.03,100.94,101.02,30230,2021-06-01 14:40:00,CSX
101.0,101.09,100.965,101.0,22911,2021-06-01 14:45:00,CSX
101.01,101.05,100.83,100.855,31224,2021-06-01 14:50:00,CSX
100.84,100.84,100.73,100.82,21106,2021-06-01 14:55:00,CSX
100.81,100.835,100.72,100.77,23655,2021-06-01 15:00:00,CSX
100.785,100.81,100.72,100.81,10195,2021-06-01 15:05:00,CSX
100.8,100.93,100.8,100.92,11218,2021-06-01 15:10:00,CSX
100.935,100.94,100.875,100.885,13370,2021-06-01 15:15:00,CSX
100.8999,100.985,100.89,100.95,16115,2021-06-01 15:20:00,CSX
100.96,101.05,100.96,100.985,14288,2021-06-01 15:25:00,CSX
100.985,101.0,100.9,101.0,22084,2021-06-01 15:30:00,CSX
100.99,101.035,100.97,101.015,11579,2021-06-01 15:35:00,CSX
101.02,101.02,100.98,101.0,17702,2021-06-01 15:40:00,CSX
100.995,101.0,100.82,100.845,18829,2021-06-01 15:45:00,CSX
100.85,100.855,100.78,100.79,10888,2021-06-01 15:50:00,CSX
100.78,100.83,100.77,100.805,9321,2021-06-01 15:55:00,CSX
100.81,100.83,100.7,100.7,9845,2021-06-01 16:00:00,CSX
100.7,100.71,100.56,100.63,16231,2021-06-01 16:05:00,CSX
100.62,100.62,100.57,100.6,8929,2021-06-01 16:10:00,CSX
100.615,100.645,100.575,100.6,14020,2021-06-01 16:15:00,CSX
100.615,100.715,100.605,100.685,12940,2021-06-01 16:20:00,CSX
100.69,100.695,100.63,100.635,9226,2021-06-01 16:25:00,CSX
100.64,100.68,100.64,100.65,11670,2021-06-01 16:30:00,CSX
100.6494,100.6892,100.635,100.645,15578,2021-06-01 16:35:00,CSX
100.65,100.73,100.645,100.65,13483,2021-06-01 16:40:00,CSX
100.64,100.665,100.61,100.665,7688,2021-06-01 16:45:00,CSX
100.66,100.66,100.5397,100.54,26009,2021-06-01 16:50:00,CSX
100.55,100.595,100.535,100.595,18543,2021-06-01 16:55:00,CSX
100.59,100.6,100.55,100.55,22386,2021-06-01 17:00:00,CSX
100.55,100.555,100.43,100.44,29253,2021-06-01 17:05:00,CSX
100.44,100.445,100.3686,100.41,19045,2021-06-01 17:10:00,CSX
100.43,100.475,100.37,100.37,16258,2021-06-01 17:15:00,CSX
100.39,100.425,100.385,100.395,18235,2021-06-01 17:20:00,CSX
100.395,100.46,100.35,100.35,34842,2021-06-01 17:25:00,CSX
100.34,100.39,100.29,100.37,9215,2021-06-01 17:30:00,CSX
100.36,100.395,100.325,100.34,7388,2021-06-01 17:35:00,CSX
100.34,100.34,100.27,100.28,10842,2021-06-01 17:40:00,CSX
100.29,100.35,100.29,100.31,19536,2021-06-01 17:45:00,CSX
100.32,100.355,100.3,100.32,24901,2021-06-01 17:50:00,CSX
100.34,100.39,100.34,100.39,18845,2021-06-01 17:55:00,CSX
100.38,100.42,100.35,100.42,9049,2021-06-01 18:00:00,CSX
100.41,100.495,100.4,100.46,12364,2021-06-01 18:05:00,CSX
100.46,100.51,100.46,100.51,7874,2021-06-01 18:10:00,CSX
100.51,100.52,100.46,100.495,13646,2021-06-01 18:15:00,CSX
100.48,100.51,100.465,100.51,9980,2021-06-01 18:20:00,CSX
100.505,100.555,100.495,100.55,15586,2021-06-01 18:25:00,CSX
100.55,100.55,100.46,100.465,9680,2021-06-01 18:30:00,CSX
100.47,100.475,100.43,100.43,15313,2021-06-01 18:35:00,CSX
100.44,100.44,100.38,100.38,9571,2021-06-01 18:40:00,CSX
100.36,100.38,100.34,100.375,8497,2021-06-01 18:45:00,CSX
100.375,100.42,100.365,100.42,7712,2021-06-01 18:50:00,CSX
100.42,100.43,100.38,100.385,12399,2021-06-01 18:55:00,CSX
100.39,100.4,100.355,100.36,10638,2021-06-01 19:00:00,CSX
100.36,100.36,100.29,100.32,16329,2021-06-01 19:05:00,CSX
100.315,100.32,100.24,100.245,9213,2021-06-01 19:10:00,CSX
100.25,100.255,100.21,100.2463,16119,2021-06-01 19:15:00,CSX
100.25,100.34,100.25,100.325,12141,2021-06-01 19:20:00,CSX
100.33,100.365,100.295,100.355,23732,2021-06-01 19:25:00,CSX
100.345,100.405,100.29,100.4,55094,2021-06-01 19:30:00,CSX
100.405,100.475,100.405,100.46,38779,2021-06-01 19:35:00,CSX
100.465,100.48,100.425,100.435,37443,2021-06-01 19:40:00,CSX
100.435,100.49,100.425,100.48,33472,2021-06-01 19:45:00,CSX
100.48,100.485,100.26,100.305,108545,2021-06-01 19:50:00,CSX
100.31,100.32,100.235,100.32,145526,2021-06-01 19:55:00,CSX
100.3,100.3,100.3,100.3,386959,2021-06-01 20:00:00,CSX
100.3,100.3,100.3,100.3,1710,2021-06-01 20:10:00,CSX
100.5,100.5,100.5,100.5,100,2021-06-01 23:45:00,CSX
101.69,101.69,101.69,101.69,100,2021-06-02 11:00:00,CSX
100.3,100.3,100.3,100.3,12183,2021-06-02 13:20:00,CSX
100.39,100.46,99.92,100.02,54249,2021-06-02 13:30:00,CSX
100.06,100.19,100.0,100.14,25208,2021-06-02 13:35:00,CSX
100.15,100.23,100.07,100.22,10864,2021-06-02 13:40:00,CSX
100.22,100.46,100.21,100.4,28511,2021-06-02 13:45:00,CSX
100.4,100.505,100.34,100.34,24483,2021-06-02 13:50:00,CSX
100.33,100.465,100.29,100.41,11940,2021-06-02 13:55:00,CSX
100.41,100.5,100.38,100.42,27236,2021-06-02 14:00:00,CSX
100.425,100.45,100.3,100.35,22579,2021-06-02 14:05:00,CSX
100.35,100.7,100.33,100.68,37698,2021-06-02 14:10:00,CSX
100.68,100.75,100.59,100.72,43401,2021-06-02 14:15:00,CSX
100.7,100.7,100.53,100.57,16580,2021-06-02 14:20:00,CSX
100.56,100.59,100.46,100.46,18752,2021-06-02 14:25:00,CSX
100.46,100.57,100.445,100.45,22669,2021-06-02 14:30:00,CSX
100.45,100.51,100.41,100.5,17355,2021-06-02 14:35:00,CSX
100.49,100.51,100.43,100.44,17099,2021-06-02 14:40:00,CSX
100.45,100.51,100.365,100.38,17008,2021-06-02 14:45:00,CSX
100.375,100.43,100.3,100.41,40439,2021-06-02 14:50:00,CSX
100.4013,100.52,100.4013,100.49,10411,2021-06-02 14:55:00,CSX
100.49,100.58,100.42,100.455,29257,2021-06-02 15:00:00,CSX
100.46,100.485,100.425,100.45,16270,2021-06-02 15:05:00,CSX
100.45,100.585,100.45,100.58,16615,2021-06-02 15:10:00,CSX
100.58,100.63,100.46,100.48,12039,2021-06-02 15:15:00,CSX
100.47,100.52,100.43,100.49,16028,2021-06-02 15:20:00,CSX
100.49,100.52,100.39,100.39,11682,2021-06-02 15:25:00,CSX
100.395,100.415,100.3,100.35,24556,2021-06-02 15:30:00,CSX
100.36,100.3601,100.3,100.3,10852,2021-06-02 15:35:00,CSX
100.3,100.3,100.16,100.17,30407,2021-06-02 15:40:00,CSX
100.17,100.17,99.93,99.94,18769,2021-06-02 15:45:00,CSX
99.93,99.98,99.915,99.97,19828,2021-06-02 15:50:00,CSX
99.98,99.99,99.84,99.85,10226,2021-06-02 15:55:00,CSX
99.86,99.93,99.82,99.87,8281,2021-06-02 16:00:00,CSX
99.865,99.865,99.785,99.7899,9254,2021-06-02 16:05:00,CSX
99.78,99.82,99.74,99.755,10310,2021-06-02 16:10:00,CSX
99.775,99.775,99.66,99.72,12360,2021-06-02 16:15:00,CSX
99.71,99.72,99.67,99.7,9112,2021-06-02 16:20:00,CSX
99.7,99.705,99.64,99.67,9017,2021-06-02 16:25:00,CSX
99.66,99.67,99.57,99.59,12557,2021-06-02 16:30:00,CSX
99.59,99.63,99.55,99.62,7701,2021-06-02 16:35:00,CSX
99.62,99.62,99.56,99.58,9845,2021-06-02 16:40:00,CSX
99.58,99.625,99.58,99.615,15179,2021-06-02 16:45:00,CSX
99.615,99.615,99.575,99.58,9703,2021-06-02 16:50:00,CSX
99.59,99.625,99.575,99.62,9398,2021-06-02 16:55:00,CSX
99.625,99.6784,99.625,99.65,10619,2021-06-02 17:00:00,CSX
99.65,99.66,99.61,99.63,7175,2021-06-02 17:05:00,CSX
99.62,99.64,99.55,99.55,15419,2021-06-02 17:10:00,CSX
99.55,99.64,99.485,99.64,15614,2021-06-02 17:15:00,CSX
99.65,99.7,99.6,99.6,19573,2021-06-02 17:20:00,CSX
99.59,99.69,99.57,99.67,12552,2021-06-02 17:25:00,CSX
99.65,99.72,99.615,99.72,30156,2021-06-02 17:30:00,CSX
99.725,99.825,99.725,99.81,10378,2021-06-02 17:35:00,CSX
99.8,99.835,99.78,99.79,10500,2021-06-02 17:40:00,CSX
99.8,99.85,99.775,99.85,11871,2021-06-02 17:45:00,CSX
99.86,99.87,99.835,99.855,9259,2021-06-02 17:50:00,CSX
99.855,99.905,99.84,99.905,8261,2021-06-02 17:55:00,CSX
99.9,99.9041,99.79,99.83,18386,2021-06-02 18:00:00,CSX
99.835,99.875,99.76,99.76,11347,2021-06-02 18:05:00,CSX
99.77,99.78,99.66,99.69,5558,2021-06-02 18:10:00,CSX
99.68,99.75,99.655,99.72,8473,2021-06-02 18:15:00,CSX
99.715,99.785,99.715,99.74,8668,2021-06-02 18:20:00,CSX
99.74,99.77,99.68,99.685,10688,2021-06-02 18:25:00,CSX
99.67,99.745,99.67,99.73,10395,2021-06-02 18:30:00,CSX
99.7258,99.74,99.63,99.63,10861,2021-06-02 18:35:00,CSX
99.62,99.66,99.59,99.59,10052,2021-06-02 18:40:00,CSX
99.6001,99.63,99.57,99.63,24806,2021-06-02 18:45:00,CSX
99.64,99.675,99.59,99.6,16265,2021-06-02 18:50:00,CSX
