open,high,low,close,volume,datetime,symbol
18.52,18.52,18.52,18.52,650,2021-06-01 13:30:00,PFHD
18.44,18.44,18.44,18.44,500,2021-06-01 14:00:00,PFHD
18.5,18.5,18.47,18.47,200,2021-06-01 14:10:00,PFHD
18.48,18.48,18.48,18.48,300,2021-06-01 14:25:00,PFHD
18.48,18.48,18.48,18.48,100,2021-06-01 15:00:00,PFHD
18.48,18.48,18.48,18.48,100,2021-06-01 15:20:00,PFHD
18.48,18.48,18.48,18.48,500,2021-06-01 15:25:00,PFHD
18.45,18.45,18.45,18.45,100,2021-06-01 16:05:00,PFHD
18.54,18.54,18.45,18.45,300,2021-06-01 16:15:00,PFHD
18.53,18.54,18.46,18.54,1200,2021-06-01 16:35:00,PFHD
18.54,18.54,18.45,18.535,1800,2021-06-01 16:55:00,PFHD
18.495,18.535,18.495,18.535,300,2021-06-01 17:00:00,PFHD
18.52,18.54,18.5,18.5,600,2021-06-01 17:05:00,PFHD
18.54,18.55,18.54,18.55,300,2021-06-01 17:15:00,PFHD
18.545,18.545,18.545,18.545,100,2021-06-01 17:35:00,PFHD
18.555,18.555,18.555,18.555,100,2021-06-01 18:05:00,PFHD
18.52,18.52,18.52,18.52,100,2021-06-01 18:10:00,PFHD
18.55,18.55,18.55,18.55,100,2021-06-01 18:15:00,PFHD
18.55,18.55,18.53,18.53,220,2021-06-01 18:30:00,PFHD
18.55,18.55,18.53,18.53,300,2021-06-01 18:35:00,PFHD
18.565,18.565,18.565,18.565,100,2021-06-01 19:00:00,PFHD
18.6,18.6,18.6,18.6,100,2021-06-01 19:05:00,PFHD
18.6,18.6,18.6,18.6,600,2021-06-01 19:20:00,PFHD
18.58,18.62,18.58,18.62,300,2021-06-01 19:25:00,PFHD
18.61,18.62,18.55,18.55,600,2021-06-01 19:30:00,PFHD
18.57,18.57,18.57,18.57,100,2021-06-01 19:40:00,PFHD
18.57,18.6,18.57,18.6,400,2021-06-01 19:45:00,PFHD
18.47,18.57,18.47,18.47,700,2021-06-01 19:55:00,PFHD
18.46,18.46,18.46,18.46,4717,2021-06-01 20:00:00,PFHD
18.55,18.55,18.55,18.55,124,2021-06-02 13:30:00,PFHD
18.51,18.51,18.43,18.43,2681,2021-06-02 14:25:00,PFHD
18.36,18.42,18.36,18.42,200,2021-06-02 14:30:00,PFHD
18.42,18.42,18.42,18.42,100,2021-06-02 14:55:00,PFHD
18.42,18.42,18.42,18.42,100,2021-06-02 15:00:00,PFHD
18.435,18.435,18.435,18.435,100,2021-06-02 15:05:00,PFHD
18.45,18.45,18.45,18.45,100,2021-06-02 15:15:00,PFHD
18.46,18.46,18.42,18.42,700,2021-06-02 15:20:00,PFHD
18.41,18.42,18.41,18.42,400,2021-06-02 15:25:00,PFHD
18.42,18.42,18.42,18.42,200,2021-06-02 15:30:00,PFHD
18.41,18.41,18.41,18.41,200,2021-06-02 15:55:00,PFHD
18.41,18.41,18.4,18.4,300,2021-06-02 16:00:00,PFHD
18.4,18.4,18.38,18.38,300,2021-06-02 16:05:00,PFHD
18.38,18.39,18.38,18.38,500,2021-06-02 16:15:00,PFHD
18.4,18.4,18.4,18.4,100,2021-06-02 16:20:00,PFHD
18.36,18.36,18.36,18.36,100,2021-06-02 16:25:00,PFHD
18.36,18.36,18.36,18.36,100,2021-06-02 16:35:00,PFHD
18.36,18.405,18.36,18.405,200,2021-06-02 16:50:00,PFHD
18.35,18.35,18.32,18.32,400,2021-06-02 17:20:00,PFHD
18.33,18.33,18.33,18.33,100,2021-06-02 17:25:00,PFHD
18.33,18.33,18.32,18.32,200,2021-06-02 17:30:00,PFHD
18.3,18.38,18.25,18.25,400,2021-06-02 18:05:00,PFHD
18.285,18.32,18.23,18.32,400,2021-06-02 18:10:00,PFHD
18.265,18.265,18.22,18.22,300,2021-06-02 18:15:00,PFHD
18.27,18.27,18.27,18.27,300,2021-06-02 18:20:00,PFHD
18.26,18.26,18.26,18.26,100,2021-06-02 18:35:00,PFHD
18.28,18.28,18.28,18.28,100,2021-06-02 18:50:00,PFHD
18.22,18.23,18.22,18.23,300,2021-06-02 19:00:00,PFHD
18.24,18.31,18.23,18.31,400,2021-06-02 19:10:00,PFHD
18.25,18.25,18.25,18.25,100,2021-06-02 19:20:00,PFHD
18.25,18.25,18.25,18.25,100,2021-06-02 19:25:00,PFHD
18.095,18.095,18.09,18.09,200,2021-06-02 19:30:00,PFHD
18.2,18.2,18.07,18.07,200,2021-06-02 19:35:00,PFHD
17.96,18.09,17.95,17.975,600,2021-06-02 19:45:00,PFHD
17.905,18.04,17.885,18.015,1654,2021-06-02 19:50:00,PFHD
18.07,18.21,18.06,18.13,900,2021-06-02 19:55:00,PFHD
18.15,18.15,18.15,18.15,1632,2021-06-02 20:00:00,PFHD
18.12,18.12,18.12,18.12,107,2021-06-03 13:30:00,PFHD
18.22,18.22,18.22,18.22,100,2021-06-03 14:05:00,PFHD
18.25,18.25,18.25,18.25,100,2021-06-03 16:00:00,PFHD
