open,high,low,close,volume,datetime,symbol
9.62,9.62,9.62,9.62,100,2021-08-23 13:55:00,AEAC
9.62,9.62,9.62,9.62,3859,2021-08-24 13:30:00,AEAC
9.655,9.655,9.655,9.655,200,2021-08-24 14:00:00,AEAC
9.68,9.68,9.68,9.68,100,2021-08-24 14:10:00,AEAC
9.67,9.67,9.67,9.67,100,2021-08-24 14:30:00,AEAC
9.67,9.67,9.67,9.67,100,2021-08-24 14:55:00,AEAC
9.63,9.63,9.63,9.63,246,2021-08-24 15:35:00,AEAC
9.67,9.67,9.67,9.67,100,2021-08-24 19:40:00,AEAC
9.68,9.68,9.62,9.63,4600,2021-08-25 15:05:00,AEAC
9.61,9.61,9.61,9.61,550,2021-08-25 15:15:00,AEAC
9.68,9.68,9.68,9.68,100,2021-08-25 15:40:00,AEAC
9.67,9.67,9.67,9.67,100,2021-08-25 15:55:00,AEAC
9.67,9.67,9.67,9.67,100,2021-08-25 16:15:00,AEAC
9.62,9.66,9.618,9.66,400,2021-08-25 18:40:00,AEAC
9.67,9.67,9.67,9.67,100,2021-08-25 19:05:00,AEAC
9.68,9.68,9.68,9.68,100,2021-08-25 19:45:00,AEAC
9.85,9.85,9.85,9.85,100,2021-08-25 20:00:00,AEAC
9.63,9.63,9.63,9.63,463,2021-08-27 15:55:00,AEAC
9.63,9.63,9.63,9.63,500,2021-08-27 17:20:00,AEAC
9.62,9.62,9.62,9.62,1742,2021-08-30 14:00:00,AEAC
9.68,9.68,9.66,9.67,1650,2021-08-30 19:25:00,AEAC
9.63,9.63,9.63,9.63,3490,2021-08-31 13:30:00,AEAC
9.64,9.64,9.64,9.64,100,2021-08-31 14:25:00,AEAC
9.69,9.69,9.68,9.68,200,2021-08-31 19:30:00,AEAC
9.69,9.69,9.68,9.68,400,2021-08-31 19:35:00,AEAC
9.68,9.68,9.67,9.68,400,2021-08-31 19:40:00,AEAC
9.68,9.69,9.6305,9.66,600,2021-08-31 19:45:00,AEAC
9.6301,9.69,9.63,9.69,800,2021-08-31 19:50:00,AEAC
9.69,9.71,9.67,9.67,790,2021-08-31 19:55:00,AEAC
9.85,9.85,9.85,9.85,2561,2021-08-31 20:00:00,AEAC
9.7,9.71,9.7,9.71,772,2021-09-01 13:50:00,AEAC
9.69,9.69,9.69,9.69,200,2021-09-01 14:00:00,AEAC
9.665,9.665,9.665,9.665,200,2021-09-01 18:25:00,AEAC
9.63,9.63,9.63,9.63,520,2021-09-01 19:55:00,AEAC
9.85,9.85,9.85,9.85,100,2021-09-01 20:00:00,AEAC
9.63,9.63,9.63,9.63,15000,2021-09-03 14:30:00,AEAC
9.69,9.69,9.69,9.69,200,2021-09-07 19:55:00,AEAC
9.65,9.65,9.65,9.65,700,2021-09-09 13:50:00,AEAC
9.65,9.65,9.65,9.65,200,2021-09-09 14:30:00,AEAC
9.68,9.68,9.68,9.68,100,2021-09-09 17:20:00,AEAC
9.72,9.72,9.71,9.71,830,2021-09-10 13:30:00,AEAC
9.66,9.66,9.66,9.66,500,2021-09-10 18:20:00,AEAC
9.66,9.66,9.66,9.66,2333,2021-09-13 13:55:00,AEAC
9.66,9.66,9.65,9.65,976,2021-09-13 15:15:00,AEAC
9.68,9.7,9.68,9.68,1510,2021-09-13 15:40:00,AEAC
9.69,9.69,9.69,9.69,136,2021-09-13 19:30:00,AEAC
9.7,9.7,9.7,9.7,346,2021-09-13 19:40:00,AEAC
9.7,9.7,9.7,9.7,654,2021-09-13 19:45:00,AEAC
9.7,9.7,9.7,9.7,600,2021-09-14 14:45:00,AEAC
9.7,9.7,9.7,9.7,200,2021-09-14 15:15:00,AEAC
9.7,9.7,9.7,9.7,100,2021-09-14 15:20:00,AEAC
9.7,9.7,9.7,9.7,400,2021-09-14 15:35:00,AEAC
9.7,9.7,9.68,9.69,3733,2021-09-14 16:55:00,AEAC
9.69,9.69,9.69,9.69,100,2021-09-14 17:35:00,AEAC
9.69,9.69,9.68,9.69,400,2021-09-14 18:20:00,AEAC
9.69,9.69,9.69,9.69,100,2021-09-14 18:25:00,AEAC
9.69,9.69,9.69,9.69,100,2021-09-14 18:30:00,AEAC
9.69,9.69,9.69,9.69,100,2021-09-14 18:35:00,AEAC
9.7,9.7,9.7,9.7,100,2021-09-14 19:00:00,AEAC
9.7,9.7,9.7,9.7,100,2021-09-14 19:05:00,AEAC
9.7,9.7,9.7,9.7,800,2021-09-14 19:20:00,AEAC
9.7,9.7,9.7,9.7,200,2021-09-14 19:35:00,AEAC
9.7,9.7,9.7,9.7,300,2021-09-14 19:40:00,AEAC
9.7,9.7,9.7,9.7,100,2021-09-14 19:45:00,AEAC
9.65,9.65,9.65,9.65,369,2021-09-14 20:05:00,AEAC
9.72,9.72,9.68,9.72,800,2021-09-15 18:20:00,AEAC
9.72,9.72,9.72,9.72,200,2021-09-15 18:25:00,AEAC
9.71,9.71,9.71,9.71,100,2021-09-15 18:35:00,AEAC
9.71,9.71,9.71,9.71,200,2021-09-15 19:00:00,AEAC
9.71,9.71,9.71,9.71,200,2021-09-15 19:10:00,AEAC
9.71,9.71,9.71,9.71,100,2021-09-15 19:15:00,AEAC
9.71,9.71,9.71,9.71,100,2021-09-15 19:20:00,AEAC
9.72,9.72,9.72,9.72,300,2021-09-15 19:45:00,AEAC
9.72,9.72,9.72,9.72,500,2021-09-15 19:50:00,AEAC
9.72,9.72,9.72,9.72,400,2021-09-15 19:55:00,AEAC
9.73,9.73,9.73,9.73,100,2021-09-16 18:00:00,AEAC
9.73,9.73,9.73,9.73,100,2021-09-16 18:25:00,AEAC
9.73,9.73,9.73,9.73,100,2021-09-16 18:45:00,AEAC
9.73,9.73,9.73,9.73,100,2021-09-16 19:00:00,AEAC
9.6942,9.6942,9.67,9.67,200,2021-09-16 19:05:00,AEAC
9.73,9.73,9.73,9.73,100,2021-09-16 19:15:00,AEAC
9.73,9.73,9.73,9.73,100,2021-09-16 19:25:00,AEAC
9.71,9.71,9.71,9.71,150000,2021-09-20 19:10:00,AEAC
9.71,9.71,9.71,9.71,100,2021-09-20 19:20:00,AEAC
9.66,9.66,9.66,9.66,3921,2021-09-21 14:35:00,AEAC
9.67,9.67,9.67,9.67,1135,2021-09-21 14:55:00,AEAC
9.68,9.68,9.68,9.68,1050,2021-09-22 14:35:00,AEAC
9.68,9.68,9.68,9.68,500,2021-09-22 14:40:00,AEAC
9.69,9.69,9.69,9.69,300,2021-09-22 15:00:00,AEAC
9.69,9.69,9.68,9.68,6300,2021-09-22 15:05:00,AEAC
9.7,9.7,9.7,9.7,200,2021-09-22 17:25:00,AEAC
9.69,9.7,9.69,9.69,7568,2021-09-22 18:50:00,AEAC
9.74,9.74,9.69,9.7036,2200,2021-09-23 13:35:00,AEAC
9.7,9.7,9.7,9.7,5000,2021-09-24 13:30:00,AEAC
9.7,9.7,9.7,9.7,2205,2021-09-24 13:40:00,AEAC
9.7,9.7,9.7,9.7,1200,2021-09-24 13:50:00,AEAC
9.7,9.7,9.7,9.7,1200,2021-09-24 13:55:00,AEAC
9.7,9.7,9.7,9.7,1200,2021-09-24 14:00:00,AEAC
9.7,9.7,9.7,9.7,1200,2021-09-24 14:20:00,AEAC
9.7,9.7,9.7,9.7,1200,2021-09-24 14:35:00,AEAC
9.7,9.7,9.7,9.7,600,2021-09-24 14:40:00,AEAC
9.7,9.71,9.7,9.71,1685,2021-09-24 15:05:00,AEAC
9.7,9.7,9.7,9.7,412,2021-09-24 15:10:00,AEAC
9.7,9.7,9.7,9.7,600,2021-09-24 15:15:00,AEAC
9.7,9.7,9.7,9.7,1200,2021-09-24 15:55:00,AEAC
9.7,9.7,9.7,9.7,1200,2021-09-24 17:20:00,AEAC
9.72,9.72,9.72,9.72,100,2021-09-24 17:25:00,AEAC
9.71,9.71,9.71,9.71,100,2021-09-24 18:05:00,AEAC
9.71,9.72,9.71,9.72,900,2021-09-24 18:10:00,AEAC
9.71,9.71,9.71,9.71,100,2021-09-24 18:20:00,AEAC
9.7,9.7,9.7,9.7,1100,2021-09-24 18:25:00,AEAC
9.7,9.7,9.7,9.7,1200,2021-09-24 19:05:00,AEAC
9.72,9.72,9.71,9.71,200,2021-09-24 19:15:00,AEAC
9.71,9.72,9.71,9.71,1300,2021-09-24 19:20:00,AEAC
9.71,9.71,9.71,9.71,1100,2021-09-24 19:25:00,AEAC
9.72,9.72,9.72,9.72,100,2021-09-24 19:40:00,AEAC
9.71,9.71,9.71,9.71,600,2021-09-24 19:45:00,AEAC
9.72,9.72,9.72,9.72,100,2021-09-24 19:50:00,AEAC
9.7,9.71,9.7,9.7,1795,2021-09-24 19:55:00,AEAC
